Date,Open,High,Low,Close,Volume
2023-08-18,127.9,128.64,125.78,126.85,30491300
2023-08-21,126.57,128.12,125.96,127.76,25248700
2023-08-22,127.9,129.66,127.71,128.47,22067500
2023-08-23,129.56,132.78,129.25,131.74,27819700
2023-08-24,133.31,133.61,128.95,129.16,28500700
2023-08-25,128.92,130.14,126.64,129.26,26762900
2023-08-28,130.69,131.91,129.52,130.39,20543300
2023-08-29,131.61,135.92,131.61,133.93,43075600
2023-08-30,134.14,135.63,133.43,135.23,28315800
2023-08-31,135.36,137.34,135.14,135.52,30053800
2023-09-01,136.81,136.81,134.21,135.01,21524600
2023-09-05,134.8,135.77,133.94,135.12,19403100
2023-09-06,135.37,135.88,133.03,133.82,18684500
2023-09-07,132.95,134.93,132.32,134.62,18844300
2023-09-08,134.27,136.01,134.21,135.73,23558300
2023-09-11,135.89,136.83,135.14,136.27,20763400
2023-09-12,135.61,136.22,134.55,134.7,18405500
2023-09-13,134.45,136.25,133.51,136.06,20749500
2023-09-14,136.95,138.04,135.59,137.44,24751000
2023-09-15,137.32,137.86,135.83,136.75,38908400
2023-09-18,135.96,138.5,135.96,137.55,21861300
2023-09-19,136.77,137.75,135.97,137.38,20353700
2023-09-20,137.42,137.42,132.98,133.1,29927500
2023-09-21,130.81,131.6,129.45,129.82,31488700
2023-09-22,130.14,131.4,128.98,129.63,26397300
2023-09-25,129.21,130.55,128.35,130.49,20094600
2023-09-26,129.15,129.74,126.61,127.96,25718700
2023-09-27,127.96,130.28,127.96,129.92,22746500
2023-09-28,129.22,132.67,129.17,131.68,22513100
2023-09-29,132.65,133.41,129.74,130.24,30848100
2023-10-02,130.59,133.78,130.55,133.53,22288000
2023-10-03,133.3,133.62,131.21,131.8,22989400
2023-10-04,132.16,134.92,131.9,134.6,26752300
2023-10-05,134.43,134.85,132.81,134.43,19832600
2023-10-06,133.37,137.5,133.37,136.93,27583200
2023-10-09,136.29,138.28,134.96,137.76,19278100
2023-10-10,137.84,139.06,136.68,137.4,27786600
2023-10-11,137.92,140.44,137.92,139.88,25884300
2023-10-12,140.38,140.55,137.6,138.31,24765500
2023-10-13,138.72,139.33,135.97,136.71,23420500
2023-10-16,137.51,138.97,137.33,138.44,28501900
2023-10-17,137.97,139.23,136.53,139.06,23515800
2023-10-18,138.79,140.05,136.73,137.3,23375000
2023-10-19,137.84,139.0,136.73,137.09,26066000
2023-10-20,136.68,137.21,134.44,134.95,26315200
2023-10-23,134.4,137.0,133.31,135.85,26317900
2023-10-24,137.17,138.7,136.77,138.15,44814300
2023-10-25,127.55,127.7,124.47,125.01,84366200
2023-10-26,122.68,123.74,120.69,121.7,57061100
2023-10-27,122.3,122.72,119.64,121.59,44566500
2023-10-30,122.62,124.8,122.17,123.87,28940100
2023-10-31,124.46,124.77,122.11,123.49,26292300
2023-11-01,123.48,125.89,123.13,125.85,30082400
2023-11-02,127.81,128.37,126.33,126.88,27124600
2023-11-03,127.41,128.91,127.25,128.49,26380100
2023-11-06,128.44,129.72,128.06,129.63,19052700
2023-11-07,130.09,131.28,129.26,130.35,29757300
2023-11-08,130.35,131.58,130.16,131.21,26425800
2023-11-09,131.33,131.92,129.45,129.62,23747800
2023-11-10,129.48,132.17,128.79,131.96,26913300
2023-11-13,131.15,131.96,130.63,131.46,18324800
2023-11-14,133.55,135.05,132.69,132.98,32395200
2023-11-15,134.23,134.39,132.93,133.98,23861500
2023-11-16,134.55,136.57,133.68,136.28,28013200
2023-11-17,135.35,135.41,133.01,134.67,37240600
2023-11-20,133.05,136.01,132.98,135.6,27815500
2023-11-21,135.64,136.53,135.31,136.32,22635300
2023-11-22,136.82,138.76,136.82,137.83,17813900
2023-11-24,137.37,137.47,135.34,136.04,12514300
2023-11-27,135.38,137.76,135.35,135.76,23436500
2023-11-28,135.43,136.6,134.78,136.55,18730000
2023-11-29,136.92,137.63,134.2,134.35,23967200
2023-11-30,134.41,134.91,130.66,131.9,38988300
2023-12-01,131.23,131.48,130.05,131.23,31431200
2023-12-04,129.26,129.41,127.29,128.65,36669900
2023-12-05,128.34,131.51,127.64,130.37,27384800
2023-12-06,130.81,131.21,129.26,129.4,23576200
2023-12-07,134.4,137.9,134.06,136.28,56767100
2023-12-08,133.56,135.75,133.39,134.35,32233900
2023-12-11,131.75,132.71,130.73,132.66,31138000
2023-12-12,131.18,132.37,130.64,131.89,29032800
2023-12-13,132.75,132.86,130.94,131.94,30104800
2023-12-14,132.75,133.08,129.07,131.31,38722400
2023-12-15,130.99,132.87,130.56,131.97,50815200
2023-12-18,132.0,136.5,131.8,135.15,32258000
2023-12-19,136.19,136.82,135.43,136.0,25476800
2023-12-20,138.31,141.03,137.41,137.68,49107200
2023-12-21,138.83,140.02,138.52,139.75,27488300
2023-12-22,140.1,141.31,140.04,140.82,26514600
2023-12-26,140.92,142.0,140.52,140.85,16780300
2023-12-27,140.92,141.4,139.22,139.7,19628600
2023-12-28,140.11,140.47,139.09,139.56,16045700
2023-12-29,138.97,139.69,138.12,139.03,18727200
2024-01-02,137.89,138.79,135.83,137.51,23711200
2024-01-03,136.6,138.97,136.43,138.26,24212100
2024-01-04,137.76,138.5,135.7,135.74,27137700
2024-01-05,136.1,136.51,134.51,135.08,22506000
2024-01-08,135.64,138.35,135.61,138.18,21404000
2024-01-09,137.84,140.82,137.49,140.28,24759600
2024-01-10,140.33,142.32,140.24,141.6,21320200
2024-01-11,142.81,144.53,139.97,141.4,24008700
2024-01-12,141.99,142.52,141.15,141.97,18768600
2024-01-16,141.32,143.66,140.78,141.81,22670500
2024-01-17,140.68,141.17,138.24,140.8,20968600
2024-01-18,141.37,143.52,141.31,142.8,25746400
2024-01-19,144.05,145.75,143.69,145.68,33300700
2024-01-22,146.4,147.68,145.15,145.3,32200400
2024-01-23,145.2,146.48,144.81,146.34,21636100
2024-01-24,147.83,149.14,147.4,147.99,25233500
2024-01-25,149.36,152.32,148.83,151.15,29149100
2024-01-26,150.38,151.81,150.29,151.47,26115500
2024-01-29,151.34,153.05,150.71,152.78,27784300
2024-01-30,152.07,152.89,150.47,150.74,36331800
2024-01-31,142.94,143.31,139.2,139.43,71910000
2024-02-01,141.44,142.38,140.12,140.49,40466500
2024-02-02,138.6,141.94,135.85,141.7,62470600
2024-02-05,142.14,144.78,142.1,143.0,38505400
2024-02-06,143.96,144.67,142.51,143.41,29128200
2024-02-07,144.07,144.93,143.25,144.85,25208900
2024-02-08,145.14,145.63,144.41,145.22,22563800
2024-02-09,145.98,148.73,145.48,148.29,26829500
2024-02-12,147.71,148.63,146.67,146.83,21564100
2024-02-13,144.23,145.97,143.01,144.45,27837700
2024-02-14,145.38,145.82,143.4,145.25,22704200
2024-02-15,142.46,142.84,139.79,142.09,37590700
2024-02-16,142.31,142.51,139.47,139.85,31451100
2024-02-20,139.0,141.4,138.83,140.45,25144700
2024-02-21,140.78,142.01,140.01,141.87,23315700
2024-02-22,144.24,144.31,142.12,143.4,27191900
2024-02-23,142.99,143.99,142.75,143.28,19493800
2024-02-26,141.46,141.76,136.74,136.92,53641800
2024-02-27,137.36,138.59,136.44,138.22,33099200
2024-02-28,137.24,137.35,134.77,135.73,37328600
2024-02-29,136.63,138.2,135.75,137.8,42133000
2024-03-01,137.77,138.21,136.27,136.49,31119500
2024-03-04,135.01,135.01,131.28,132.72,55999400
2024-03-05,131.25,132.61,130.05,132.04,40194800
2024-03-06,132.49,132.94,130.23,130.77,35318600
2024-03-07,132.16,134.3,130.98,133.74,37738200
2024-03-08,133.57,137.43,133.36,134.77,39343100
2024-03-11,135.48,138.44,135.48,137.01,32437800
2024-03-12,136.38,138.72,136.38,137.84,27563400
2024-03-13,138.34,140.42,138.33,139.12,23347200
2024-03-14,140.52,142.91,139.79,142.42,42753400
2024-03-15,141.82,142.5,139.36,140.51,49460600
