Date,Open,High,Low,Close,Volume
2023-08-18,9.86,10.3,9.84,10.25,8337800.0
2023-08-21,10.28,10.44,10.13,10.39,6461200.0
2023-08-22,10.5,10.6,10.32,10.38,6452100.0
2023-08-23,10.39,10.6,10.34,10.5,6019400.0
2023-08-24,10.52,10.52,10.27,10.37,4885100.0
2023-08-25,10.38,10.6,10.33,10.54,4784400.0
2023-08-28,10.62,10.72,10.5,10.55,4881500.0
2023-08-29,10.48,11.08,10.45,11.02,9553700.0
2023-08-30,10.9,11.15,10.9,11.06,7218000.0
2023-08-31,11.1,11.16,10.77,10.89,28595700.0
2023-09-01,11.18,11.37,11.06,11.11,9240000.0
2023-09-05,11.0,11.02,10.66,10.82,9895100.0
2023-09-06,10.77,10.94,10.7,10.79,5866800.0
2023-09-07,10.61,10.77,10.52,10.74,4420300.0
2023-09-08,10.69,10.8,10.52,10.74,4874700.0
2023-09-11,10.82,10.9,10.71,10.84,5331800.0
2023-09-12,10.81,11.01,10.79,10.8,5042800.0
2023-09-13,10.76,10.81,10.59,10.62,4808500.0
2023-09-14,10.65,10.66,10.42,10.57,6470800.0
2023-09-15,10.47,10.69,10.43,10.67,8987000.0
2023-09-18,10.65,10.79,10.58,10.6,5412100.0
2023-09-19,10.58,10.6,10.36,10.47,4583700.0
2023-09-20,10.45,10.65,10.21,10.22,4883500.0
2023-09-21,10.01,10.02,9.82,9.83,7251000.0
2023-09-22,9.91,9.97,9.64,9.7,5370600.0
2023-09-25,9.57,9.77,9.55,9.68,3894800.0
2023-09-26,9.61,9.77,9.49,9.53,5751400.0
2023-09-27,9.64,9.77,9.44,9.57,4445700.0
2023-09-28,9.6,9.84,9.48,9.68,3848900.0
2023-09-29,9.84,10.01,9.69,9.81,4605000.0
2023-10-02,9.77,9.9,9.59,9.73,5825400.0
2023-10-03,9.62,9.78,9.49,9.53,4405500.0
2023-10-04,9.5,9.69,9.43,9.68,4485600.0
2023-10-05,9.57,9.82,9.49,9.73,4888500.0
2023-10-06,9.62,9.99,9.62,9.93,5124700.0
2023-10-09,9.82,9.96,9.72,9.87,3637400.0
2023-10-10,9.86,10.19,9.86,10.04,4895800.0
2023-10-11,10.05,10.18,9.68,9.72,6391400.0
2023-10-12,9.74,9.77,9.28,9.29,7034200.0
2023-10-13,9.3,9.36,9.12,9.14,5586000.0
2023-10-16,9.16,9.39,9.14,9.32,3913900.0
2023-10-17,9.22,9.64,9.22,9.6,6263900.0
2023-10-18,9.5,9.56,9.15,9.21,5151200.0
2023-10-19,9.24,9.24,8.96,8.97,5382500.0
2023-10-20,8.95,9.23,8.89,9.13,5344000.0
2023-10-23,9.05,9.39,8.97,9.17,5031500.0
2023-10-24,9.34,9.6,9.25,9.32,5658200.0
2023-10-25,9.21,9.29,9.01,9.03,5804800.0
2023-10-26,9.07,9.23,8.94,9.1,4447800.0
2023-10-27,9.2,9.2,8.89,8.9,4421200.0
2023-10-30,9.0,9.14,8.9,9.08,3914000.0
2023-10-31,9.12,9.16,9.05,9.14,3753200.0
2023-11-01,9.17,9.23,8.92,9.08,4146000.0
2023-11-02,9.19,9.51,9.19,9.48,7793500.0
2023-11-03,9.66,9.79,9.56,9.69,8830900.0
2023-11-06,9.78,9.82,9.52,9.59,4896600.0
2023-11-07,9.61,9.85,9.59,9.76,13420500.0
2023-11-08,8.78,8.9,8.28,8.36,27080200.0
2023-11-09,8.54,8.62,7.92,7.93,15764200.0
2023-11-10,8.0,8.3,7.99,8.23,10981400.0
2023-11-13,8.16,8.41,8.13,8.31,7994900.0
2023-11-14,8.55,8.71,8.45,8.5,10708700.0
2023-11-15,8.57,8.61,8.31,8.33,11201200.0
2023-11-16,8.28,8.29,7.91,7.94,13541300.0
2023-11-17,7.98,8.14,7.93,8.1,9142200.0
2023-11-20,8.1,8.27,7.99,8.13,13184600.0
2023-11-21,8.06,8.13,7.96,7.98,7764100.0
2023-11-22,8.03,8.26,7.98,8.22,8522800.0
2023-11-24,8.2,8.3,8.13,8.29,3613000.0
2023-11-27,8.27,8.46,8.21,8.39,7071300.0
2023-11-28,8.38,8.65,8.35,8.64,10075600.0
2023-11-29,8.84,9.18,8.77,8.92,13982600.0
2023-11-30,9.19,9.2,8.69,8.8,15221700.0
2023-12-01,8.82,9.39,8.82,9.32,16279500.0
2023-12-04,9.46,9.73,9.33,9.55,18297500.0
2023-12-05,9.79,10.64,9.66,10.53,38892500.0
2023-12-06,10.88,11.65,10.73,11.27,51461800.0
2023-12-07,11.07,11.7,10.81,11.48,26167900.0
2023-12-08,11.23,11.74,11.02,11.73,23141200.0
2023-12-11,11.55,11.79,11.32,11.71,18603200.0
2023-12-12,11.77,11.9,11.54,11.63,13394300.0
2023-12-13,11.63,12.02,11.12,11.99,24506100.0
2023-12-14,12.35,12.39,11.79,12.09,22749700.0
2023-12-15,12.01,12.02,11.52,11.69,16406900.0
2023-12-18,11.55,11.98,11.44,11.93,14413000.0
2023-12-19,12.06,13.19,12.04,13.17,31841800.0
2023-12-20,13.32,13.45,12.59,12.62,32610100.0
2023-12-21,12.81,13.06,12.51,12.89,14515400.0
2023-12-22,13.01,13.15,12.8,12.95,10525400.0
2023-12-26,13.0,13.14,12.86,12.94,8151100.0
2023-12-27,13.03,13.51,12.91,13.26,16095200.0
2023-12-28,13.11,13.28,13.06,13.18,8604400.0
2023-12-29,13.16,13.17,12.52,12.74,14494100.0
2024-01-02,12.74,12.75,12.28,12.37,11659200.0
2024-01-03,11.68,11.97,11.55,11.79,13694100.0
2024-01-04,11.65,12.17,11.63,11.98,9611900.0
2024-01-05,11.82,12.16,11.77,11.89,8179700.0
2024-01-08,11.97,12.58,11.96,12.42,17238700.0
2024-01-09,12.25,12.35,12.14,12.2,7344300.0
2024-01-10,12.18,12.35,11.78,12.14,8569200.0
2024-01-11,12.53,12.58,11.63,11.71,13483000.0
2024-01-12,11.5,11.56,10.99,11.02,16476400.0
2024-01-16,10.92,11.03,10.62,10.93,9399000.0
2024-01-17,10.71,10.74,10.52,10.65,8611600.0
2024-01-18,10.76,10.82,10.53,10.67,8032200.0
2024-01-19,10.68,10.75,10.38,10.71,7969100.0
2024-01-22,10.81,11.17,10.81,10.99,9454000.0
2024-01-23,11.16,11.3,10.87,10.95,6929500.0
2024-01-24,11.1,11.23,10.73,10.81,6848000.0
2024-01-25,10.85,10.9,10.62,10.7,5299900.0
2024-01-26,10.76,11.01,10.71,10.79,4742100.0
2024-01-29,10.83,11.33,10.76,11.31,10871000.0
2024-01-30,11.23,11.28,10.95,11.01,7035500.0
2024-01-31,10.94,11.17,10.7,10.74,7341400.0
2024-02-01,10.79,10.94,10.61,10.91,5807500.0
2024-02-02,10.75,11.02,10.65,10.92,7388300.0
2024-02-05,10.82,10.88,10.51,10.56,7633200.0
2024-02-06,10.57,10.8,10.53,10.78,5098200.0
2024-02-07,10.84,11.08,10.64,11.0,7559200.0
2024-02-08,11.05,11.34,11.0,11.22,7844600.0
2024-02-09,11.4,11.6,11.25,11.55,11957000.0
2024-02-12,11.73,12.13,11.65,12.01,22042300.0
2024-02-13,11.61,11.94,11.43,11.84,36725400.0
2024-02-14,13.65,13.9,12.77,13.38,76339000.0
2024-02-15,13.4,13.55,13.04,13.42,24372900.0
2024-02-16,13.38,14.35,13.32,14.0,34885500.0
2024-02-20,14.0,14.23,13.68,14.09,16920700.0
2024-02-21,13.76,13.89,13.39,13.59,14328000.0
2024-02-22,13.71,14.09,13.6,13.97,10961900.0
2024-02-23,14.04,14.5,14.01,14.48,15963200.0
2024-02-26,14.71,15.61,14.68,15.59,28000800.0
2024-02-27,15.89,16.29,15.55,16.25,24830300.0
2024-02-28,16.06,16.53,15.9,16.13,25143400.0
2024-02-29,16.17,16.51,15.66,16.31,21226300.0
2024-03-01,16.3,16.6,16.12,16.58,13111700.0
2024-03-04,17.07,17.22,16.54,16.63,17405200.0
2024-03-05,16.3,16.33,15.66,15.93,17683600.0
2024-03-06,16.1,16.59,15.77,16.4,13102400.0
2024-03-07,16.62,16.62,16.13,16.36,9854700.0
2024-03-08,16.58,17.62,16.57,17.0,19955300.0
2024-03-11,16.99,17.48,16.76,16.86,14947000.0
2024-03-12,16.88,16.9,16.19,16.39,13396500.0
2024-03-13,16.31,17.36,16.23,17.16,15815100.0
2024-03-14,19.12,19.23,17.75,18.05,48665200.0
2024-03-15,17.82,18.36,17.5,18.15,17739000.0
