Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,301.64,304.72,300.36,302.57,13967800,312.13,308.93,293.68,4.09,-2.27,47.6,222587200.0,9.27,39.7
2023-08-14,306.19,306.21,298.25,300.98,15641900,310.89,308.71,294.35,3.58,-2.22,51.08,238229100.0,9.18,38.72
2023-08-15,301.95,307.23,300.03,306.14,11623600,308.82,308.21,294.94,2.81,-2.39,47.89,226605500.0,9.03,27.79
2023-08-16,294.29,301.08,294.28,300.2,18547700,306.81,307.12,295.39,1.56,-2.91,42.7,208057800.0,8.93,18.31
2023-08-17,285.09,296.05,284.95,293.05,23950100,304.0,306.25,295.67,-0.17,-3.72,37.45,184107700.0,9.09,4.54
2023-08-18,283.25,285.69,274.38,279.03,34061200,301.26,305.7,296.07,-1.67,-4.17,36.49,150046500.0,9.25,6.07
2023-08-21,289.9,290.5,281.85,283.45,20181500,298.59,305.61,296.57,-2.3,-3.84,42.28,170228000.0,9.21,17.81
2023-08-22,287.6,292.9,286.75,292.55,12999900,296.09,305.27,297.03,-2.94,-3.59,40.89,157228100.0,8.99,27.7
2023-08-23,294.24,297.4,287.67,288.5,18287000,294.99,305.05,297.49,-2.89,-2.83,46.37,175515100.0,9.04,36.79
2023-08-24,286.75,299.46,286.64,298.5,18360900,293.09,303.8,297.8,-3.41,-2.68,41.68,157154200.0,9.32,34.52
2023-08-25,285.5,288.39,276.03,286.13,23701400,291.48,301.8,298.04,-3.88,-2.52,40.93,133452800.0,9.54,33.03
2023-08-28,290.26,291.45,285.8,288.0,14239300,289.88,300.39,298.21,-3.82,-1.97,44.96,147692100.0,9.28,31.48
2023-08-29,297.99,299.15,288.18,288.58,20844500,289.49,299.15,298.55,-3.12,-1.01,50.83,168536600.0,9.4,42.74
2023-08-30,295.1,298.29,293.43,297.17,17717000,289.57,298.19,298.76,-2.76,-0.52,48.74,150819600.0,9.07,55.24
2023-08-31,295.89,301.1,295.66,295.8,17229900,290.65,297.33,299.05,-2.39,-0.12,49.35,168049500.0,8.85,63.58
2023-09-01,296.38,301.74,294.47,299.37,12819800,291.96,296.61,299.28,-2.03,0.19,49.76,180869300.0,8.74,65.18
2023-09-05,300.15,301.39,295.51,297.02,14956000,292.99,295.79,299.51,-1.42,0.64,52.86,195825300.0,8.53,75.55
2023-09-06,299.17,303.3,295.66,301.71,15418100,294.14,295.11,299.92,-1.01,0.84,51.96,180407200.0,8.47,82.29
2023-09-07,298.67,307.05,292.22,298.0,33748700,294.59,294.79,300.15,-0.71,0.91,51.48,146658500.0,8.93,84.75
2023-09-08,297.89,305.25,296.78,299.22,17548000,295.7,294.4,300.41,-0.54,0.87,50.69,129110500.0,8.89,76.85
2023-09-11,307.56,309.04,301.28,301.41,19489300,297.91,294.69,300.93,0.38,1.43,59.05,148599800.0,9.05,80.11
2023-09-12,301.66,308.66,300.23,306.33,13480400,299.05,294.46,301.22,0.62,1.34,53.13,135119400.0,9.01,81.21
2023-09-13,305.06,307.18,301.32,302.36,13210900,299.75,294.62,301.6,1.08,1.43,55.88,148330300.0,8.78,87.03
2023-09-14,311.72,312.87,305.03,306.74,19343100,301.42,295.49,301.95,1.95,1.85,60.73,167673400.0,8.72,87.49
2023-09-15,300.31,312.0,298.75,311.61,28106400,301.86,296.25,302.11,1.7,1.28,50.49,139567000.0,9.04,79.47
2023-09-18,302.55,303.6,297.8,298.19,14234200,302.47,297.22,302.36,1.67,1.0,52.19,153801200.0,8.81,69.56
2023-09-19,305.07,306.17,299.81,302.48,15924400,302.97,297.98,302.57,1.82,0.92,54.11,169725600.0,8.63,58.01
2023-09-20,299.67,308.06,299.43,305.05,19379500,303.02,298.58,302.6,1.49,0.47,49.53,150346100.0,8.63,52.17
2023-09-21,295.73,300.26,293.27,295.7,21300500,302.72,298.65,302.33,0.91,-0.09,46.44,129045600.0,8.52,38.43
2023-09-22,299.08,305.38,298.27,299.3,25369600,302.84,299.27,302.04,0.7,-0.24,49.33,154415200.0,8.6,28.77
2023-09-25,300.83,300.95,293.7,295.64,18987000,302.17,300.04,301.88,0.67,-0.21,50.83,173402200.0,8.5,30.64
2023-09-26,298.96,300.3,296.01,297.66,19417200,301.9,300.47,301.65,0.49,-0.32,49.16,153985000.0,8.24,35.85
2023-09-27,297.74,301.3,286.79,300.45,36429800,301.17,300.46,301.36,0.25,-0.45,48.05,117555200.0,8.69,38.77
2023-09-28,303.96,306.33,296.7,298.94,22167100,300.39,300.9,301.12,0.55,-0.12,53.77,139722300.0,8.75,46.82
2023-09-29,300.21,310.64,299.36,307.38,25356600,300.38,301.12,301.08,0.48,-0.15,50.18,114365700.0,8.93,53.09
2023-10-02,306.82,307.18,301.63,302.74,16265600,300.81,301.64,301.33,0.95,0.26,55.78,130631300.0,8.79,64.7
