Date,Open,High,Low,Close,Volume
2023-08-18,277.72,284.35,273.09,281.92,34061200.0
2023-08-21,282.12,289.14,280.53,288.54,20181500.0
2023-08-22,291.18,291.53,285.4,286.25,12999900.0
2023-08-23,287.15,296.0,286.32,292.86,18287000.0
2023-08-24,297.1,298.06,285.3,285.4,18360900.0
2023-08-25,284.79,287.04,274.74,284.16,23701400.0
2023-08-28,286.65,290.08,284.46,288.9,14239300.0
2023-08-29,287.23,297.75,286.83,296.59,20844500.0
2023-08-30,295.78,296.89,292.05,293.72,17717000.0
2023-08-31,294.41,299.69,294.27,294.5,17229900.0
2023-09-01,297.97,300.32,293.09,294.99,12819800.0
2023-09-05,295.63,299.98,294.12,298.74,14956000.0
2023-09-06,300.29,301.88,294.27,297.77,15418100.0
2023-09-07,296.6,305.61,290.85,297.27,33748700.0
2023-09-08,297.82,303.82,295.39,296.49,17548000.0
2023-09-11,300.0,307.59,299.87,306.12,19489300.0
2023-09-12,304.89,307.21,298.82,300.24,13480400.0
2023-09-13,300.94,305.74,299.91,303.63,13210900.0
2023-09-14,305.3,311.4,303.6,310.26,19343100.0
2023-09-15,310.15,310.54,297.35,298.9,28106400.0
2023-09-18,296.79,302.18,296.4,301.13,14234200.0
2023-09-19,301.06,304.73,298.4,303.64,15924400.0
2023-09-20,303.62,306.61,298.03,298.26,19379500.0
2023-09-21,294.31,298.85,291.89,294.34,21300500.0
2023-09-22,297.9,303.95,296.87,297.68,25369600.0
2023-09-25,294.25,299.54,292.32,299.42,18987000.0
2023-09-26,296.26,298.89,294.62,297.56,19417200.0
2023-09-27,299.04,299.89,285.44,296.34,36429800.0
2023-09-28,297.54,304.89,295.31,302.53,22167100.0
2023-09-29,305.94,309.18,297.96,298.8,25356600.0
2023-10-02,301.32,305.74,300.22,305.38,16265600.0
2023-10-03,302.83,305.33,298.23,299.53,17362300.0
2023-10-04,297.33,305.46,297.1,304.15,16880500.0
2023-10-05,303.2,304.77,298.1,303.36,19130000.0
2023-10-06,300.03,314.83,299.5,313.95,21784000.0
2023-10-09,311.03,318.83,310.36,316.87,22503700.0
2023-10-10,317.62,323.14,316.67,320.33,19038000.0
2023-10-11,321.49,327.3,321.44,326.28,22036300.0
2023-10-12,326.46,328.99,321.18,322.64,20530500.0
2023-10-13,322.01,323.53,310.9,313.21,21341000.0
2023-10-16,317.15,320.31,314.04,319.64,16536100.0
2023-10-17,316.69,322.88,315.81,322.48,16387800.0
2023-10-18,319.88,324.41,314.08,315.48,16851000.0
2023-10-19,318.38,320.38,310.29,311.34,18709200.0
2023-10-20,312.67,313.82,305.03,307.2,22287400.0
2023-10-23,308.05,315.87,305.82,312.54,17796800.0
2023-10-24,315.29,316.86,309.17,311.08,19525500.0
2023-10-25,308.55,309.42,297.44,298.12,42192500.0
2023-10-26,293.62,293.62,278.09,287.0,66684100.0
2023-10-27,293.1,297.91,291.6,295.34,29596300.0
2023-10-30,297.69,307.95,297.65,301.24,28435100.0
2023-10-31,301.89,302.26,295.47,299.86,19434200.0
2023-11-01,300.43,311.27,300.43,310.39,20434600.0
2023-11-02,315.81,317.32,306.88,309.41,21631800.0
2023-11-03,311.08,314.07,309.56,313.12,16754100.0
2023-11-06,314.5,316.84,312.97,314.32,12887700.0
2023-11-07,315.57,319.49,313.64,317.32,14055600.0
2023-11-08,316.65,319.82,313.4,318.28,13609700.0
2023-11-09,317.92,322.66,317.3,319.05,16103100.0
