Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,321.01,322.41,319.21,320.26,24342600,327.65,336.52,336.05,-4.4,-1.96,37.5,72043400.0,7.49,5.14
2023-08-14,324.04,324.06,320.08,321.39,18836100,326.46,335.44,335.88,-4.45,-1.6,41.12,90879500.0,7.24,10.19
2023-08-15,321.86,325.09,320.9,323.0,16966300,325.02,333.55,335.61,-4.61,-1.41,39.36,73913200.0,7.01,12.15
2023-08-16,320.4,324.42,319.8,320.8,20698900,324.31,331.82,335.29,-4.8,-1.28,38.17,53214300.0,6.84,12.22
2023-08-17,316.88,321.87,316.21,320.54,21257200,323.33,330.32,334.96,-5.17,-1.32,35.4,31957100.0,6.75,6.9
2023-08-18,316.48,318.38,311.55,314.49,24744800,322.2,328.96,334.82,-5.43,-1.27,35.09,7212300.0,6.76,9.0
2023-08-21,321.88,322.77,317.04,317.93,24040000,321.38,327.8,334.75,-5.15,-0.79,42.45,31252300.0,6.73,21.69
2023-08-22,322.46,326.08,321.46,325.5,16102000,321.02,326.37,334.67,-4.82,-0.37,43.19,47354300.0,6.57,36.1
2023-08-23,327.0,329.2,323.46,323.82,21166400,321.49,325.83,334.57,-4.15,0.25,48.78,68520700.0,6.58,51.84
2023-08-24,319.97,332.98,319.96,332.85,23281400,321.2,325.29,334.28,-4.13,0.21,41.91,45239300.0,7.05,50.34
2023-08-25,322.98,325.36,318.8,321.47,21684100,321.4,324.52,334.0,-3.83,0.41,45.45,66923400.0,7.02,52.71
2023-08-28,323.7,326.15,321.72,325.66,14808500,321.36,323.91,333.51,-3.5,0.59,46.3,81731900.0,6.83,49.77
2023-08-29,328.41,328.98,321.88,321.88,19284600,322.02,323.52,333.23,-2.82,1.02,51.57,101016500.0,6.85,62.9
2023-08-30,328.79,329.81,326.45,328.67,15222100,322.86,323.58,333.04,-2.23,1.29,51.98,116238600.0,6.6,71.94
2023-08-31,327.76,330.91,326.78,329.2,26411000,323.94,323.64,332.93,-1.82,1.36,50.73,89827600.0,6.42,78.25
2023-09-01,328.66,331.99,326.78,331.31,14931200,325.16,323.68,332.71,-1.41,1.42,51.82,104758800.0,6.33,78.64
2023-09-05,333.55,334.85,328.66,329.0,18553900,326.33,323.85,332.68,-0.68,1.72,57.36,123312700.0,6.32,83.3
2023-09-06,332.88,334.46,330.18,333.38,17535800,327.37,324.19,332.76,-0.15,1.79,56.4,105776900.0,6.17,88.6
2023-09-07,329.91,333.08,329.03,331.29,18381000,327.66,324.58,332.67,0.03,1.58,52.24,87395900.0,6.02,88.25
2023-09-08,334.27,336.16,329.46,330.09,19530100,329.09,325.14,332.64,0.51,1.65,57.23,106926000.0,6.07,86.82
2023-09-11,337.94,338.42,335.43,337.24,16583300,330.59,325.99,332.7,1.18,1.85,60.93,123509300.0,5.93,88.82
2023-09-12,331.77,336.79,331.48,335.82,17565500,331.39,326.38,332.52,1.2,1.5,52.68,105943800.0,5.97,84.59
2023-09-13,336.06,336.85,331.17,331.31,16544400,332.16,327.09,332.48,1.54,1.47,57.04,122488200.0,5.95,83.88
2023-09-14,338.7,340.86,336.57,339.15,20267000,333.15,328.0,332.49,2.0,1.55,59.51,142755200.0,5.87,81.43
2023-09-15,330.22,337.4,329.65,336.92,37666900,333.4,328.67,332.27,1.66,0.97,49.64,105088300.0,6.1,74.2
2023-09-18,329.06,330.4,326.36,327.8,16834200,333.44,329.3,332.11,1.29,0.47,48.45,88254100.0,5.95,57.48
2023-09-19,328.65,329.39,324.51,326.17,16505900,332.95,329.64,332.05,0.94,0.1,48.02,71748200.0,5.87,35.85
2023-09-20,320.77,329.59,320.51,329.51,21436500,331.73,329.55,331.81,0.04,-0.64,40.48,50311700.0,6.1,21.48
2023-09-21,319.53,325.35,315.0,319.26,35529500,330.7,329.18,331.46,-0.77,-1.16,39.43,14782200.0,6.41,14.71
2023-09-22,317.01,321.45,316.15,321.32,21447900,328.97,329.03,330.94,-1.6,-1.59,37.31,-6665700.0,6.33,8.86
2023-09-25,317.54,317.67,315.0,316.59,17836000,326.93,328.76,330.39,-2.19,-1.74,38.07,11170300.0,6.06,11.7
2023-09-26,312.14,315.88,310.02,315.13,26297600,324.97,328.18,329.72,-3.05,-2.09,33.63,-15127300.0,6.17,8.16
2023-09-27,312.79,314.3,309.69,312.3,19410100,322.64,327.4,328.79,-3.65,-2.14,34.62,4282800.0,6.06,8.88
2023-09-28,313.64,315.48,309.45,310.99,19683600,320.14,326.64,327.96,-4.0,-2.0,35.96,23966400.0,6.06,10.05
2023-09-29,315.75,319.47,314.98,317.75,24140300,318.69,326.04,327.33,-4.06,-1.65,39.29,48106700.0,6.04,14.45
2023-10-02,321.8,321.89,315.18,316.28,20570000,317.96,325.7,326.89,-3.59,-0.94,47.69,68676700.0,6.09,24.24
2023-10-03,313.39,321.39,311.21,320.83,21033500,316.44,324.69,326.26,-3.84,-0.95,39.51,47643200.0,6.41,23.97
2023-10-04,318.96,320.04,314.0,314.03,20720100,316.26,324.0,325.62,-3.55,-0.53,46.1,68363300.0,6.43,28.63
2023-10-05,319.36,319.98,314.9,319.09,16965600,316.24,323.47,325.25,-3.25,-0.19,46.55,85328900.0,6.33,31.29
2023-10-06,327.26,329.19,316.3,316.55,25645500,317.26,323.12,325.18,-2.35,0.57,54.62,110974400.0,6.8,56.59
2023-10-09,329.82,330.3,323.18,324.75,19891200,318.49,322.71,325.01,-1.42,1.21,56.89,130865600.0,6.82,77.81
2023-10-10,328.39,331.1,327.67,330.96,20557100,320.12,322.54,324.86,-0.78,1.47,55.23,110308500.0,6.58,91.2
2023-10-11,332.42,332.82,329.14,331.21,20063200,322.08,322.36,324.78,0.05,1.84,58.88,130371700.0,6.43,94.49
2023-10-12,331.16,333.63,328.72,330.57,19313100,323.83,321.98,324.86,0.6,1.91,57.31,111058600.0,6.32,91.85
2023-10-13,327.73,333.83,326.36,332.38,21072400,325.03,321.86,324.88,0.75,1.65,53.15,89986200.0,6.4,87.68
2023-10-16,332.64,336.14,330.6,331.05,22158000,326.11,322.04,324.97,1.25,1.72,57.86,112144200.0,6.54,83.88
2023-10-17,332.06,333.46,327.41,329.59,18338500,327.98,322.21,325.01,1.58,1.64,57.13,93805700.0,6.51,82.19
2023-10-18,330.11,335.59,328.3,332.49,23153600,329.1,322.68,325.09,1.66,1.38,54.63,70652100.0,6.56,82.47
2023-10-19,331.32,336.88,330.91,332.15,25052100,330.29,323.26,325.28,1.81,1.22,55.92,95704200.0,6.58,79.62
2023-10-20,326.67,331.92,325.45,331.72,25012600,330.23,323.75,325.35,1.53,0.75,50.03,70691600.0,6.57,71.46
2023-10-23,329.32,332.73,324.39,325.47,24374700,330.18,324.34,325.52,1.51,0.58,53.07,95066300.0,6.7,68.51
2023-10-24,330.53,331.84,327.6,331.3,31153600,330.4,325.26,325.65,1.57,0.52,54.42,126219900.0,6.52,66.1
2023-10-25,340.67,346.2,337.62,345.02,55053800,331.22,326.65,326.02,2.41,1.08,63.87,181273700.0,7.18,73.19
2023-10-26,327.89,341.63,326.94,340.54,37828500,330.89,327.36,326.17,2.02,0.55,49.85,143445200.0,7.71,57.69
2023-10-27,329.81,336.72,328.4,330.43,29856500,331.1,328.07,326.43,1.84,0.3,51.57,173301700.0,7.79,42.27
2023-10-30,337.31,339.45,331.83,333.41,22828100,331.57,328.84,326.85,2.28,0.59,57.68,196129800.0,7.92,34.85
2023-10-31,338.11,339.0,334.69,338.85,20265300,332.17,330.08,327.17,2.66,0.78,58.28,216395100.0,7.67,49.0
2023-11-01,346.07,347.42,339.65,339.79,28158800,333.77,331.43,327.65,3.57,1.35,63.82,244553900.0,7.78,72.09
2023-11-02,348.32,348.83,344.77,347.24,24348100,335.47,332.88,328.07,4.42,1.76,65.22,268902000.0,7.52,84.99
2023-11-03,352.8,354.39,347.33,349.63,23624000,338.08,334.16,328.73,5.39,2.18,67.89,292526000.0,7.49,95.58
2023-11-06,356.53,357.54,353.35,353.45,23828300,340.8,335.49,329.4,6.38,2.54,69.96,316354300.0,7.29,96.52
2023-11-07,360.53,362.46,357.63,359.4,25833900,343.8,337.1,330.14,7.41,2.86,72.04,342188200.0,7.19,95.53
2023-11-08,363.2,363.87,360.55,361.68,26767800,346.06,338.64,330.83,8.34,3.03,73.37,368956000.0,6.92,96.73
2023-11-09,360.69,364.79,360.36,362.3,24847300,349.34,340.12,331.47,8.78,2.77,70.01,344108700.0,6.74,94.36
2023-11-10,369.67,370.1,361.07,361.49,28042100,353.32,342.21,332.31,9.74,2.99,74.51,372150800.0,6.93,95.72
2023-11-13,366.68,368.47,365.9,368.22,19986500,356.26,343.91,333.07,10.14,2.71,70.7,352164300.0,6.7,93.64
2023-11-14,370.27,371.95,367.35,371.01,27683900,359.48,345.83,333.8,10.62,2.56,72.52,379848200.0,6.6,95.78
2023-11-15,369.67,373.13,367.11,371.28,26860100,361.84,347.8,334.54,10.84,2.21,71.72,352988100.0,6.56,93.54
