Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,40.85,42.02,40.64,41.75,533085000,44.26,45.09,43.01,-0.15,-0.66,34.84,-1552671000.0,1.56,7.04
2023-08-14,43.75,43.8,40.31,40.49,690286000,43.96,44.96,43.09,-0.14,-0.53,48.98,-862385000.0,1.7,20.58
2023-08-15,43.94,45.27,43.71,44.56,676512000,43.7,44.78,43.18,-0.13,-0.41,49.74,-185873000.0,1.69,34.34
2023-08-16,43.49,44.67,43.41,44.52,527451000,43.63,44.6,43.27,-0.15,-0.34,47.88,-713324000.0,1.66,48.79
2023-08-17,43.34,44.06,43.0,43.97,452395000,43.51,44.49,43.36,-0.17,-0.29,47.28,-1165719000.0,1.62,47.42
2023-08-18,43.3,43.58,41.66,42.63,583768000,43.37,44.44,43.48,-0.19,-0.25,47.08,-1749487000.0,1.64,45.46
2023-08-21,46.97,47.06,44.22,44.49,692573000,43.52,44.56,43.65,0.08,0.02,61.41,-1056914000.0,1.79,62.79
2023-08-22,45.67,48.19,45.33,48.13,755293000,43.63,44.56,43.78,0.2,0.11,55.66,-1812207000.0,1.87,70.64
2023-08-23,47.12,47.2,45.21,45.87,779046000,44.08,44.64,43.94,0.4,0.25,60.14,-1033161000.0,1.88,84.32
2023-08-24,47.16,50.27,47.16,50.22,1156044000,44.56,44.7,44.06,0.56,0.32,60.28,122883000.0,1.97,74.42
2023-08-25,46.02,47.81,45.02,47.01,925341000,45.08,44.67,44.12,0.58,0.28,55.19,-802458000.0,2.03,70.85
2023-08-28,46.83,46.98,44.89,46.48,685192000,45.38,44.67,44.2,0.66,0.29,57.92,-117266000.0,2.03,63.9
2023-08-29,48.78,49.08,46.39,46.67,701397000,45.87,44.79,44.33,0.87,0.4,63.62,584131000.0,2.08,69.33
2023-08-30,49.26,49.93,48.42,49.04,735206000,46.45,45.04,44.44,1.06,0.47,64.88,1319337000.0,2.04,80.19
2023-08-31,49.35,49.74,48.96,49.38,528570000,47.05,45.28,44.56,1.21,0.49,65.12,1847907000.0,1.95,88.63
2023-09-01,48.51,49.8,48.14,49.76,463830000,47.57,45.47,44.67,1.24,0.42,60.84,1384077000.0,1.93,86.79
2023-09-05,48.55,48.85,47.86,48.22,382653000,47.73,45.63,44.8,1.26,0.35,60.97,1766730000.0,1.86,83.49
2023-09-06,47.06,48.55,46.58,48.44,468670000,47.87,45.75,44.93,1.14,0.18,53.79,1298060000.0,1.87,74.13
2023-09-07,46.24,46.34,45.15,45.53,433330000,47.78,45.93,45.01,0.96,0.01,50.27,864730000.0,1.87,65.34
2023-09-08,45.57,46.61,45.27,45.94,473069000,47.62,46.09,45.1,0.76,-0.15,47.54,391661000.0,1.83,46.11
2023-09-11,45.18,46.16,44.31,46.15,473966000,47.53,46.31,45.19,0.56,-0.28,45.95,-82305000.0,1.83,30.04
2023-09-12,44.87,45.67,44.53,44.74,349256000,47.34,46.36,45.24,0.38,-0.37,44.7,-431561000.0,1.78,15.42
2023-09-13,45.49,45.93,44.5,44.6,398355000,47.01,46.44,45.3,0.28,-0.38,47.76,-33206000.0,1.76,14.54
2023-09-14,45.58,45.99,45.13,45.95,370097000,46.64,46.54,45.37,0.21,-0.36,48.25,336891000.0,1.69,17.22
2023-09-15,43.9,45.6,43.81,45.34,506831000,46.09,46.57,45.4,0.01,-0.45,41.09,-169940000.0,1.7,14.6
2023-09-18,43.97,44.24,42.0,42.75,500271000,45.64,46.6,45.43,-0.14,-0.47,41.46,330331000.0,1.74,16.3
2023-09-19,43.52,43.97,43.0,43.83,373064000,45.14,46.43,45.46,-0.29,-0.5,39.66,-42733000.0,1.68,15.16
2023-09-20,42.24,43.9,42.22,43.6,367108000,44.66,46.26,45.46,-0.5,-0.57,34.97,-409841000.0,1.68,15.68
2023-09-21,41.02,42.1,40.98,41.58,450736000,44.13,45.96,45.4,-0.76,-0.67,31.18,-860577000.0,1.65,7.55
2023-09-22,41.61,42.12,41.23,41.57,479236000,43.74,45.68,45.31,-0.91,-0.65,34.87,-381341000.0,1.61,3.83
2023-09-25,42.22,42.54,41.18,41.59,419091000,43.44,45.49,45.25,-0.97,-0.57,38.53,37750000.0,1.6,8.28
2023-09-26,41.91,42.82,41.65,42.0,402282000,43.15,45.24,45.16,-1.03,-0.5,37.38,-364532000.0,1.56,13.65
2023-09-27,42.47,42.87,41.63,42.33,444935000,42.84,44.93,45.06,-1.02,-0.39,40.79,80403000.0,1.54,19.8
2023-09-28,43.09,43.45,42.12,42.46,424663000,42.59,44.62,44.98,-0.95,-0.26,44.42,505066000.0,1.53,27.9
2023-09-29,43.5,44.14,43.31,43.83,397830000,42.55,44.32,44.94,-0.85,-0.13,46.74,902896000.0,1.49,39.15
2023-10-02,44.78,45.17,43.86,44.03,433298000,42.64,44.14,44.94,-0.66,0.05,53.32,1336194000.0,1.51,55.64
2023-10-03,43.52,45.13,43.25,44.81,470850000,42.64,43.89,44.92,-0.61,0.08,47.14,865344000.0,1.53,58.97
2023-10-04,44.04,44.14,43.29,43.74,361821000,42.82,43.74,44.89,-0.52,0.14,49.74,1227165000.0,1.48,64.29
2023-10-05,44.69,44.9,43.89,44.05,393483000,43.18,43.66,44.87,-0.39,0.21,52.82,1620648000.0,1.45,68.44
2023-10-06,45.76,45.79,44.03,44.19,434436000,43.6,43.67,44.87,-0.2,0.32,57.48,2055084000.0,1.47,84.7
2023-10-09,45.27,45.6,44.37,44.84,409675000,43.9,43.67,44.84,-0.08,0.35,54.83,1645409000.0,1.47,92.37
2023-10-10,45.8,46.26,45.09,45.31,368582000,44.29,43.72,44.82,0.05,0.38,57.12,2013991000.0,1.45,93.33
2023-10-11,46.81,46.86,46.05,46.2,378137000,44.73,43.78,44.83,0.23,0.45,61.19,2392128000.0,1.42,93.2
2023-10-12,46.94,47.61,46.33,46.78,481325000,45.11,43.85,44.88,0.38,0.48,61.73,2873453000.0,1.41,93.34
2023-10-13,45.46,47.12,45.28,46.96,474115000,45.31,43.93,44.9,0.38,0.38,53.22,2399338000.0,1.44,84.27
2023-10-16,46.1,46.22,44.91,45.06,375099000,45.44,44.04,44.93,0.42,0.34,56.01,2774437000.0,1.43,76.15
2023-10-17,43.94,44.75,42.48,44.0,812333000,45.48,44.06,44.9,0.28,0.16,45.97,1962104000.0,1.59,57.31
2023-10-18,42.2,43.22,41.83,42.59,627294000,45.3,44.06,44.85,0.03,-0.08,39.77,1334810000.0,1.62,38.09
2023-10-19,42.1,43.3,41.88,42.81,501233000,45.04,44.11,44.84,-0.18,-0.23,39.45,833577000.0,1.61,14.79
2023-10-20,41.39,42.47,41.08,41.89,477266000,44.6,44.1,44.82,-0.4,-0.35,37.09,356311000.0,1.59,5.31
2023-10-23,42.97,43.25,40.94,41.23,478530000,44.37,44.14,44.86,-0.44,-0.31,44.98,834841000.0,1.64,13.32
2023-10-24,43.66,43.7,42.69,43.08,401463000,44.16,44.22,44.86,-0.41,-0.23,48.02,1236304000.0,1.6,25.33
2023-10-25,41.78,43.65,41.56,43.4,398379000,43.65,44.19,44.82,-0.53,-0.28,41.29,837925000.0,1.63,27.92
2023-10-26,40.33,42.26,39.88,41.85,541001000,42.99,44.05,44.76,-0.74,-0.39,36.99,296924000.0,1.69,19.69
2023-10-27,40.5,41.21,40.01,41.13,416784000,42.5,43.9,44.7,-0.88,-0.42,37.82,713708000.0,1.65,8.77
2023-10-30,41.16,41.77,40.48,41.09,388028000,42.0,43.72,44.66,-0.92,-0.38,41.02,1101736000.0,1.63,10.12
2023-10-31,40.78,40.88,39.23,40.45,517969000,41.69,43.58,44.53,-0.98,-0.34,39.75,583767000.0,1.65,14.36
2023-11-01,42.33,42.38,40.87,40.88,437593000,41.7,43.5,44.47,-0.89,-0.2,46.93,1021360000.0,1.64,24.77
2023-11-02,43.51,43.88,42.89,43.33,409172000,41.84,43.44,44.39,-0.71,-0.02,51.67,1430532000.0,1.64,39.62
2023-11-03,45.01,45.31,43.72,44.02,424610000,42.2,43.4,44.35,-0.45,0.19,56.92,1855142000.0,1.65,65.13
2023-11-06,45.75,45.94,44.9,45.28,400733000,42.48,43.42,44.35,-0.18,0.37,59.3,2255875000.0,1.61,84.46
2023-11-07,45.96,46.22,45.16,45.72,343165000,42.71,43.43,44.33,0.06,0.48,59.95,2599040000.0,1.57,96.16
2023-11-08,46.57,46.87,45.97,46.1,346719000,43.19,43.42,44.28,0.29,0.57,61.93,2945759000.0,1.52,96.55
2023-11-09,46.95,48.23,46.75,47.47,540496000,43.85,43.42,44.24,0.49,0.62,63.13,3486255000.0,1.53,92.73
2023-11-10,48.33,48.47,47.28,47.5,421245000,44.63,43.57,44.22,0.76,0.71,67.21,3907500000.0,1.53,93.49
2023-11-13,48.62,49.12,48.1,48.32,384136000,45.38,43.69,44.22,0.98,0.75,68.0,4291636000.0,1.49,93.09
2023-11-14,49.66,49.83,49.04,49.68,416954000,46.27,43.98,44.24,1.23,0.8,70.74,4708590000.0,1.47,97.27
2023-11-15,48.89,49.96,48.2,49.94,475497000,46.92,44.31,44.28,1.35,0.73,66.21,4233093000.0,1.49,94.44
2023-11-16,49.48,49.53,48.33,48.68,339756000,47.52,44.68,44.34,1.47,0.68,67.92,4572849000.0,1.47,94.62
2023-11-17,49.3,49.72,49.01,49.52,325205000,47.95,45.08,44.42,1.54,0.6,66.8,4247644000.0,1.42,93.12
2023-11-20,50.41,50.55,49.18,49.31,414120000,48.42,45.45,44.52,1.66,0.58,70.04,4661764000.0,1.41,95.97
2023-11-21,49.94,50.52,49.22,50.13,565747000,48.82,45.76,44.62,1.7,0.49,67.09,4096017000.0,1.41,94.83
2023-11-22,48.72,50.33,47.69,49.85,899420000,49.03,46.11,44.69,1.61,0.33,59.91,3196597000.0,1.49,87.94
2023-11-24,47.78,48.92,47.74,48.47,294645000,49.11,46.48,44.73,1.45,0.13,55.05,2901952000.0,1.47,72.07
2023-11-27,48.24,48.53,47.65,47.8,395662000,49.1,46.87,44.82,1.35,0.02,56.92,3297614000.0,1.43,60.43
2023-11-28,47.82,48.32,47.47,48.24,401491000,49.02,47.2,44.9,1.22,-0.09,54.71,2896123000.0,1.39,49.53
2023-11-29,48.14,48.76,47.86,48.38,382005000,48.87,47.57,44.99,1.13,-0.14,56.1,3278128000.0,1.36,44.76
2023-11-30,46.77,48.11,46.42,48.02,526247000,48.66,47.79,45.08,0.93,-0.27,49.13,2751881000.0,1.38,28.5
2023-12-01,46.76,47.2,46.19,46.53,369317000,48.39,47.95,45.19,0.77,-0.35,49.1,2382564000.0,1.36,19.43
2023-12-04,45.51,46.08,45.01,46.08,437543000,48.01,47.98,45.27,0.53,-0.47,43.38,1945021000.0,1.38,10.24
2023-12-05,46.57,46.6,45.27,45.47,371718000,47.62,48.02,45.36,0.43,-0.46,48.79,2316739000.0,1.38,16.79
2023-12-06,45.5,47.39,45.41,47.22,380590000,47.18,48.0,45.43,0.25,-0.51,44.21,1936149000.0,1.42,15.34
2023-12-07,46.6,46.63,45.6,45.7,350823000,46.97,48.0,45.51,0.2,-0.45,49.46,2286972000.0,1.4,21.88
