Date,Open,High,Low,Close,Volume
2023-08-18,13.88,14.6,13.68,14.4,70047000.0
2023-08-21,14.42,14.78,14.34,14.5,43206200.0
2023-08-22,14.76,15.13,14.63,14.67,52106900.0
2023-08-23,14.5,15.47,14.42,15.3,53523300.0
2023-08-24,15.7,15.71,13.88,14.14,93586200.0
2023-08-25,14.14,14.65,14.01,14.53,55668900.0
2023-08-28,14.69,14.88,14.5,14.64,35964700.0
2023-08-29,14.6,15.63,14.5,15.4,47213200.0
2023-08-30,15.46,16.35,15.33,16.33,65674100.0
2023-08-31,15.6,15.85,14.65,14.98,101517200.0
2023-09-01,15.16,15.36,14.83,15.18,45107800.0
2023-09-05,15.08,15.42,14.9,15.21,33818400.0
2023-09-06,15.17,15.62,15.08,15.3,38738100.0
2023-09-07,14.88,15.24,14.29,15.21,51798800.0
2023-09-08,15.12,15.61,15.09,15.13,33862000.0
2023-09-11,15.41,16.1,15.36,15.79,55294700.0
2023-09-12,15.46,16.15,15.43,15.59,39497900.0
2023-09-13,15.63,15.85,15.42,15.6,34354400.0
2023-09-14,15.69,16.04,15.47,15.83,38572500.0
2023-09-15,15.77,15.9,15.17,15.33,56161900.0
2023-09-18,15.18,15.63,15.07,15.46,37404100.0
2023-09-19,15.34,15.52,14.95,15.15,37804800.0
2023-09-20,15.25,15.43,14.73,14.74,37640500.0
2023-09-21,14.34,14.6,13.68,14.0,72831500.0
2023-09-22,14.23,14.41,14.03,14.13,47714500.0
2023-09-25,14.0,14.24,13.82,14.22,39693900.0
2023-09-26,13.95,14.17,13.88,13.96,37276200.0
2023-09-27,14.2,14.96,14.16,14.85,62780600.0
2023-09-28,15.14,15.96,14.82,15.77,66590800.0
2023-09-29,16.11,16.81,15.96,16.0,77919600.0
2023-10-02,16.03,16.44,15.77,15.88,41043900.0
2023-10-03,15.61,15.77,14.82,14.9,51578100.0
2023-10-04,15.46,15.85,15.16,15.73,52786200.0
2023-10-05,15.56,15.9,15.41,15.81,49648100.0
2023-10-06,15.56,16.69,15.51,16.61,65511400.0
2023-10-09,16.25,17.83,16.22,17.61,106161200.0
2023-10-10,18.06,18.4,17.62,17.8,99971500.0
2023-10-11,17.87,18.44,17.73,17.92,55745600.0
2023-10-12,17.92,18.24,17.55,17.94,57940900.0
2023-10-13,18.06,18.16,17.27,17.36,54541600.0
2023-10-16,17.21,17.46,16.67,17.36,44987300.0
2023-10-17,17.0,18.03,16.91,17.84,54401300.0
2023-10-18,17.81,18.22,17.19,17.2,44208300.0
2023-10-19,17.44,17.58,16.97,17.06,46303200.0
2023-10-20,16.85,16.94,15.81,16.11,63738300.0
2023-10-23,15.9,16.34,15.21,16.2,55967200.0
2023-10-24,16.38,16.93,16.3,16.64,39833800.0
2023-10-25,16.57,16.63,15.58,15.59,46706500.0
2023-10-26,15.6,15.91,15.05,15.29,49351800.0
2023-10-27,15.48,15.6,14.96,15.07,39913600.0
2023-10-30,15.27,15.29,14.56,14.69,46886400.0
2023-10-31,14.58,15.01,14.55,14.8,40195400.0
2023-11-01,14.8,14.96,14.48,14.92,54419100.0
2023-11-02,17.48,18.3,17.21,17.97,170406800.0
2023-11-03,18.02,19.08,17.76,18.89,109039500.0
2023-11-06,18.99,19.08,17.93,18.54,79952600.0
2023-11-07,18.86,19.17,18.53,18.8,56289100.0
2023-11-08,18.85,18.93,18.15,18.49,46063100.0
2023-11-09,18.66,18.87,18.16,18.27,48454200.0
2023-11-10,18.16,19.72,18.06,19.67,92748000.0
2023-11-13,19.59,19.88,19.3,19.71,74877500.0
2023-11-14,20.0,20.1,19.5,19.94,83230500.0
2023-11-15,19.9,20.37,19.61,19.95,75533500.0
2023-11-16,19.8,19.88,19.29,19.77,49942800.0
2023-11-17,19.68,20.58,19.66,20.49,69497400.0
2023-11-20,20.65,21.6,20.56,21.34,90270000.0
2023-11-21,21.11,21.85,19.72,19.8,106643300.0
2023-11-22,20.26,20.44,19.33,19.69,68326000.0
2023-11-24,19.38,19.6,18.93,19.2,39800400.0
2023-11-27,19.13,19.5,18.62,19.08,58808200.0
2023-11-28,19.11,19.8,19.03,19.71,54170700.0
2023-11-29,19.94,20.31,19.78,19.84,62782100.0
2023-11-30,19.94,20.23,19.68,20.05,55501000.0
2023-12-01,19.93,20.29,19.55,20.27,61336000.0
2023-12-04,19.75,19.9,18.27,18.4,104948500.0
2023-12-05,18.25,18.55,17.96,18.3,54460800.0
2023-12-06,17.69,17.83,17.05,17.13,96111000.0
2023-12-07,17.22,17.48,17.08,17.22,56455000.0
2023-12-08,17.18,17.92,17.09,17.77,57404600.0
2023-12-11,17.97,18.28,17.7,17.77,50929600.0
2023-12-12,17.69,17.88,17.23,17.5,46231900.0
2023-12-13,17.65,17.9,17.22,17.87,52682600.0
2023-12-14,18.17,18.58,17.72,18.21,67462800.0
2023-12-15,18.67,19.15,18.04,18.2,93004400.0
2023-12-18,18.21,18.58,17.77,17.84,60188100.0
2023-12-19,17.98,18.19,17.84,17.95,43530300.0
2023-12-20,17.87,17.92,17.19,17.25,58666900.0
2023-12-21,17.53,17.74,17.42,17.59,30493600.0
2023-12-22,17.7,17.7,17.33,17.41,33615000.0
2023-12-26,17.44,17.75,17.33,17.68,31750700.0
2023-12-27,17.78,17.91,17.45,17.47,32918400.0
2023-12-28,17.46,17.84,17.42,17.56,38990000.0
2023-12-29,17.52,17.64,17.1,17.17,38805000.0
2024-01-02,16.95,16.95,16.5,16.58,41626700.0
2024-01-03,16.12,16.38,16.01,16.09,46865200.0
2024-01-04,16.05,16.58,15.95,16.25,39937700.0
2024-01-05,15.7,16.13,15.66,15.98,57628800.0
2024-01-08,16.22,16.89,16.14,16.67,49090000.0
2024-01-09,16.51,16.63,16.28,16.39,35794500.0
2024-01-10,16.5,17.03,16.4,16.79,41254400.0
2024-01-11,16.81,16.93,16.17,16.68,39552400.0
2024-01-12,16.68,17.06,16.62,16.76,33861400.0
2024-01-16,16.59,16.74,16.29,16.53,32659300.0
2024-01-17,16.26,16.41,16.05,16.39,30832800.0
2024-01-18,16.75,16.81,16.1,16.4,35239700.0
2024-01-19,16.57,16.78,16.15,16.78,40538700.0
2024-01-22,17.46,18.35,17.43,17.6,85573900.0
2024-01-23,17.64,17.73,17.2,17.33,37794300.0
2024-01-24,17.51,17.65,16.74,16.75,42710700.0
2024-01-25,16.92,17.0,16.31,16.46,44589000.0
2024-01-26,16.4,16.75,16.34,16.35,28612200.0
2024-01-29,16.45,17.11,16.43,17.09,35987800.0
2024-01-30,17.04,17.24,16.66,16.74,36388200.0
2024-01-31,16.41,16.76,16.07,16.09,43582500.0
2024-02-01,16.21,16.49,16.03,16.33,40454400.0
2024-02-02,16.34,17.02,16.15,17.02,56983900.0
2024-02-05,17.56,17.87,16.48,16.72,167698300.0
2024-02-06,20.3,22.18,19.76,21.87,420501900.0
2024-02-07,21.6,23.87,21.38,23.6,254911100.0
2024-02-08,23.96,25.06,23.32,24.51,212671100.0
2024-02-09,25.04,25.11,23.57,24.38,149062000.0
2024-02-12,23.91,25.52,23.82,25.05,108173000.0
2024-02-13,23.53,24.66,23.31,24.01,102293300.0
2024-02-14,24.15,25.5,23.75,25.19,97227900.0
2024-02-15,25.04,25.46,24.71,25.41,70544300.0
2024-02-16,24.96,25.5,24.39,24.44,65212100.0
2024-02-20,23.84,24.0,22.72,23.4,93374300.0
2024-02-21,22.3,22.93,22.29,22.74,60411500.0
2024-02-22,23.77,23.95,23.05,23.59,64458200.0
2024-02-23,23.53,24.07,22.82,22.97,48840800.0
2024-02-26,23.03,23.88,22.94,23.56,46499500.0
2024-02-27,23.76,24.62,23.72,24.53,64967400.0
2024-02-28,24.52,24.84,24.25,24.42,47314000.0
2024-02-29,24.81,25.29,24.36,25.08,62753300.0
2024-03-01,25.3,25.69,24.53,24.93,63090500.0
2024-03-04,24.4,24.58,23.53,24.04,64320000.0
2024-03-05,23.96,24.41,23.43,23.81,49542300.0
2024-03-06,25.75,26.75,24.53,26.16,207386900.0
2024-03-07,27.01,27.5,26.38,26.46,117519300.0
2024-03-08,27.19,27.28,25.81,26.04,83969300.0
2024-03-11,25.89,26.83,25.29,25.35,60829300.0
2024-03-12,25.57,25.64,24.35,24.7,75202600.0
2024-03-13,24.7,25.44,24.6,25.0,59713000.0
2024-03-14,24.83,24.97,24.14,24.43,49214800.0
2024-03-15,23.85,24.1,23.42,23.49,61270500.0
