Date,Open,High,Low,Close,Volume
2023-08-18,214.12,217.58,212.36,215.49,135813700.0
2023-08-21,221.55,232.13,220.58,231.28,135702700.0
2023-08-22,240.25,240.82,229.55,233.19,130597900.0
2023-08-23,229.34,238.98,229.29,236.86,101077600.0
2023-08-24,238.66,238.92,228.18,230.04,99777400.0
2023-08-25,231.31,239.0,230.35,238.59,106612200.0
2023-08-28,242.58,244.38,235.35,238.82,107673700.0
2023-08-29,238.58,257.48,237.77,257.18,134047600.0
2023-08-30,254.2,260.51,250.59,256.9,121988400.0
2023-08-31,255.98,261.18,255.05,258.08,108861700.0
2023-09-01,257.26,259.08,242.01,245.01,132272500.0
2023-09-05,245.0,258.0,244.86,256.49,129469600.0
2023-09-06,255.14,255.39,245.06,251.92,116959800.0
2023-09-07,245.07,252.81,243.27,251.49,115312900.0
2023-09-08,251.22,256.52,246.67,248.5,118367700.0
2023-09-11,264.27,274.85,260.61,273.58,174667900.0
2023-09-12,270.76,278.39,266.6,267.48,135999900.0
2023-09-13,270.07,274.98,268.1,271.3,111673700.0
2023-09-14,271.32,276.71,270.42,276.04,107709800.0
2023-09-15,277.55,278.98,271.0,274.39,133422800.0
2023-09-18,271.16,271.44,263.76,265.28,101543300.0
2023-09-19,264.35,267.85,261.2,266.5,103704000.0
2023-09-20,267.04,273.93,262.46,262.59,122514600.0
2023-09-21,257.85,260.86,254.21,255.7,119531000.0
2023-09-22,257.4,257.79,244.48,244.88,127524100.0
2023-09-25,243.38,247.1,238.31,246.99,104636600.0
2023-09-26,242.98,249.55,241.66,244.12,101993600.0
2023-09-27,244.26,245.33,234.58,240.5,136597200.0
2023-09-28,240.02,247.55,238.65,246.38,117058900.0
2023-09-29,250.0,254.77,246.35,250.22,128346200.0
2023-10-02,244.81,254.28,242.62,251.6,123810400.0
2023-10-03,248.61,250.02,244.45,246.53,101985300.0
2023-10-04,248.14,261.86,247.6,261.16,129721600.0
2023-10-05,260.0,263.6,256.25,260.05,119159200.0
2023-10-06,253.98,261.65,250.65,260.53,117947000.0
2023-10-09,255.31,261.36,252.05,259.67,101377900.0
2023-10-10,257.75,268.94,257.65,263.62,122656000.0
2023-10-11,266.2,268.6,260.9,262.99,103706300.0
2023-10-12,262.92,265.41,256.63,258.87,111508100.0
2023-10-13,258.9,259.6,250.22,251.12,102073800.0
2023-10-16,250.05,255.4,248.48,253.92,88917200.0
2023-10-17,250.1,257.18,247.08,254.85,93562900.0
2023-10-18,252.7,254.63,242.08,242.68,125147800.0
2023-10-19,225.95,230.61,216.78,220.11,170772700.0
2023-10-20,217.01,218.86,210.42,211.99,137734000.0
2023-10-23,210.0,216.98,202.51,212.08,150683400.0
2023-10-24,216.5,222.05,214.11,216.52,118231100.0
2023-10-25,215.88,220.1,212.2,212.42,107065100.0
2023-10-26,211.32,214.8,204.88,205.76,115112600.0
2023-10-27,210.6,212.41,205.77,207.3,94881200.0
2023-10-30,209.28,210.88,194.67,197.36,136448200.0
2023-10-31,196.12,202.8,194.07,200.84,118068300.0
2023-11-01,204.04,205.99,197.85,205.66,121661700.0
2023-11-02,212.97,219.2,211.45,218.51,125987600.0
2023-11-03,221.15,226.37,218.4,219.96,119281000.0
2023-11-06,223.98,226.32,215.0,219.27,117335800.0
2023-11-07,219.98,223.12,215.72,222.18,116900100.0
2023-11-08,223.15,224.15,217.64,222.11,106584800.0
2023-11-09,219.75,220.8,206.68,209.98,142110500.0
2023-11-10,210.03,215.38,205.69,214.65,130994000.0
2023-11-13,215.6,225.4,211.61,223.71,140447600.0
2023-11-14,235.03,238.14,230.72,237.41,149771600.0
2023-11-15,239.29,246.7,236.45,242.84,150354000.0
2023-11-16,239.49,240.88,230.96,233.59,136816800.0
2023-11-17,232.0,237.39,226.54,234.3,142532800.0
2023-11-20,234.04,237.1,231.02,235.6,116320100.0
2023-11-21,235.04,243.62,233.34,241.2,122288000.0
2023-11-22,242.04,244.01,231.4,234.21,117950600.0
2023-11-24,233.75,238.75,232.33,235.45,65125200.0
2023-11-27,236.89,238.33,232.1,236.08,112031800.0
2023-11-28,236.68,247.0,234.01,246.72,148549900.0
2023-11-29,249.21,252.75,242.76,244.14,135401300.0
2023-11-30,245.14,245.22,236.91,240.08,132353200.0
2023-12-01,233.14,240.19,231.9,238.83,121173500.0
2023-12-04,235.75,239.37,233.29,235.58,104099800.0
2023-12-05,233.87,246.66,233.7,238.72,137971100.0
2023-12-06,242.92,246.57,239.17,239.37,126436200.0
2023-12-07,241.55,244.08,236.98,242.64,107142300.0
2023-12-08,240.27,245.27,239.27,243.84,102980100.0
2023-12-11,242.74,243.44,237.45,239.74,97913900.0
2023-12-12,238.55,238.99,233.87,237.01,95328300.0
2023-12-13,234.19,240.3,228.2,239.29,146286300.0
2023-12-14,241.22,253.88,240.79,251.05,160829200.0
2023-12-15,251.21,254.13,248.3,253.5,135720800.0
2023-12-18,253.78,258.74,251.36,252.08,116416500.0
2023-12-19,253.48,258.34,253.01,257.22,106737400.0
2023-12-20,256.41,259.84,247.0,247.14,125097000.0
2023-12-21,251.9,254.8,248.55,254.5,109594200.0
2023-12-22,256.76,258.22,251.37,252.54,93249800.0
2023-12-26,254.49,257.97,252.91,256.61,86892400.0
2023-12-27,258.35,263.34,257.52,261.44,106494400.0
2023-12-28,263.66,265.13,252.71,253.18,113619900.0
2023-12-29,255.1,255.19,247.43,248.48,100615300.0
2024-01-02,250.08,251.25,244.41,248.42,104654200.0
2024-01-03,244.98,245.68,236.32,238.45,121082600.0
2024-01-04,239.25,242.7,237.73,237.93,102629300.0
2024-01-05,236.86,240.12,234.9,237.49,92379400.0
2024-01-08,236.14,241.25,235.3,240.45,85166600.0
2024-01-09,238.11,238.96,232.04,234.96,96705700.0
2024-01-10,235.1,235.5,231.29,233.94,91628500.0
2024-01-11,230.57,230.93,225.37,227.22,105873600.0
2024-01-12,220.08,225.34,217.15,218.89,122889000.0
2024-01-16,215.1,223.49,212.18,219.91,115355000.0
2024-01-17,214.86,215.67,212.01,215.55,103164400.0
2024-01-18,216.88,217.45,208.74,211.88,108595400.0
2024-01-19,209.99,213.19,207.56,212.19,102095800.0
2024-01-22,212.26,217.8,206.27,208.8,117952500.0
2024-01-23,211.3,215.65,207.75,209.14,106605900.0
2024-01-24,211.88,212.73,206.77,207.83,123369900.0
2024-01-25,189.7,193.0,180.06,182.63,198076800.0
2024-01-26,185.5,186.78,182.1,183.25,107343200.0
2024-01-29,185.63,191.48,183.67,190.93,125013100.0
2024-01-30,195.33,196.36,190.61,191.59,109982300.0
2024-01-31,187.0,193.97,185.85,187.29,103221400.0
2024-02-01,188.5,189.88,184.28,188.86,91843300.0
2024-02-02,185.04,188.69,182.0,187.91,110505100.0
2024-02-05,184.26,184.68,175.01,181.06,134294400.0
2024-02-06,177.21,186.49,177.11,185.1,122676000.0
2024-02-07,188.18,189.79,182.68,187.58,111535200.0
2024-02-08,189.0,191.62,185.58,189.56,83034000.0
2024-02-09,190.18,194.12,189.48,193.57,84476300.0
2024-02-12,192.11,194.73,187.28,188.13,95498600.0
2024-02-13,183.99,187.26,182.11,184.02,86759500.0
2024-02-14,185.3,188.89,183.35,188.71,81203000.0
2024-02-15,189.16,200.88,188.86,200.45,120831800.0
2024-02-16,202.06,203.17,197.4,199.95,111173600.0
2024-02-20,196.13,198.6,189.13,193.76,104545800.0
2024-02-21,193.36,199.44,191.95,194.77,103844000.0
2024-02-22,194.0,198.32,191.36,197.41,92739500.0
2024-02-23,195.31,197.57,191.5,191.97,78841900.0
2024-02-26,192.29,201.78,192.0,199.4,111747100.0
2024-02-27,204.04,205.6,198.26,199.73,108645400.0
2024-02-28,200.42,205.3,198.44,202.04,99806200.0
2024-02-29,204.18,205.28,198.45,201.88,85907000.0
2024-03-01,200.52,204.52,198.5,202.64,82099200.0
2024-03-04,198.73,199.75,186.72,188.14,134334900.0
2024-03-05,183.05,184.59,177.57,180.74,119660800.0
2024-03-06,179.99,181.58,173.7,176.54,107920900.0
2024-03-07,174.35,180.04,173.7,178.65,102129000.0
2024-03-08,181.5,182.73,174.7,175.34,85315300.0
2024-03-11,175.45,182.87,174.8,177.77,85391500.0
2024-03-12,177.77,179.43,172.41,177.54,87391700.0
2024-03-13,173.05,176.05,169.15,169.48,106524500.0
2024-03-14,167.77,171.17,160.51,162.5,126325700.0
2024-03-15,163.16,165.18,160.76,163.57,96971900.0
