Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,43.71,44.3,43.31,44.0,16172800,45.67,46.35,44.01,0.08,-0.55,42.45,201699900.0,1.5,8.23
2023-08-14,44.85,44.88,42.95,43.5,15828800,45.21,46.32,44.14,0.04,-0.48,48.36,217528700.0,1.53,16.33
2023-08-15,44.08,44.88,44.01,44.7,13404700,44.95,46.16,44.23,-0.06,-0.46,45.0,204124000.0,1.48,17.6
2023-08-16,43.65,44.33,43.4,43.98,14980800,44.62,45.98,44.29,-0.17,-0.46,43.19,189143200.0,1.44,19.01
2023-08-17,43.97,44.86,43.91,44.18,21326600,44.43,45.85,44.36,-0.23,-0.41,44.96,210469800.0,1.42,14.53
2023-08-18,44.69,44.84,43.19,43.27,17132100,44.38,45.72,44.48,-0.21,-0.32,48.83,227601900.0,1.44,18.31
2023-08-21,44.63,45.3,44.01,44.98,15362100,44.35,45.59,44.57,-0.2,-0.25,48.52,212239800.0,1.43,26.17
2023-08-22,44.35,45.18,44.02,44.94,13599800,44.26,45.45,44.63,-0.22,-0.21,47.04,198640000.0,1.41,30.49
2023-08-23,45.14,45.62,44.0,44.0,14625800,44.37,45.34,44.7,-0.16,-0.12,51.53,213265800.0,1.43,42.24
2023-08-24,44.68,45.72,44.64,45.24,18129600,44.38,45.24,44.77,-0.15,-0.09,48.93,195136200.0,1.4,51.62
2023-08-25,43.96,44.84,43.08,44.71,19132500,44.4,45.04,44.82,-0.2,-0.11,45.09,176003700.0,1.43,54.26
2023-08-28,44.15,44.52,43.71,44.11,10424100,44.33,44.77,44.84,-0.22,-0.11,46.29,186427800.0,1.38,47.41
2023-08-29,45.35,45.58,44.12,44.21,11335400,44.46,44.7,44.87,-0.14,-0.02,53.23,197763200.0,1.39,55.48
2023-08-30,46.51,46.75,45.3,45.35,19869400,44.74,44.68,44.96,0.02,0.11,58.77,217632600.0,1.39,74.55
2023-08-31,47.23,47.57,46.52,46.69,19263800,45.07,44.75,45.05,0.2,0.23,61.8,236896400.0,1.37,90.99
2023-09-01,47.04,47.7,46.83,47.51,14607000,45.3,44.84,45.14,0.32,0.29,60.54,222289400.0,1.33,90.68
2023-09-05,46.55,47.14,46.3,46.87,16461700,45.5,44.92,45.2,0.38,0.27,57.29,205827700.0,1.3,84.49
2023-09-06,45.9,46.85,45.61,46.34,14262700,45.65,44.96,45.23,0.36,0.21,53.2,191565000.0,1.29,73.95
2023-09-07,46.27,46.68,45.25,45.5,14972200,45.76,45.07,45.28,0.38,0.18,55.16,206537200.0,1.3,68.4
2023-09-08,47.24,47.25,46.27,46.34,15956900,46.02,45.2,45.34,0.46,0.21,59.9,222494100.0,1.28,73.38
2023-09-11,48.94,48.97,47.65,47.74,19007300,46.52,45.46,45.47,0.66,0.33,66.57,241501400.0,1.31,86.19
2023-09-12,47.92,49.19,47.9,48.34,18809000,46.89,45.61,45.56,0.73,0.31,60.11,222692400.0,1.31,89.59
2023-09-13,48.16,48.36,47.28,47.51,12691800,47.18,45.82,45.66,0.79,0.3,61.07,235384200.0,1.29,87.3
2023-09-14,48.32,48.69,47.81,48.63,13068200,47.36,46.05,45.75,0.84,0.28,61.73,248452400.0,1.26,82.73
2023-09-15,47.52,48.49,47.27,48.19,16125700,47.39,46.23,45.86,0.81,0.2,56.57,232326700.0,1.26,79.5
2023-09-18,46.51,47.35,46.48,47.3,15025500,47.33,46.32,45.94,0.69,0.07,50.8,217301200.0,1.25,67.5
2023-09-19,47.59,47.76,46.21,46.4,19180200,47.44,46.47,46.03,0.68,0.04,55.97,236481400.0,1.27,58.71
2023-09-20,46.55,47.54,46.4,46.87,22582000,47.5,46.58,46.08,0.58,-0.04,50.47,213899400.0,1.26,46.53
2023-09-21,44.6,45.79,43.93,45.79,27865700,47.33,46.55,46.08,0.34,-0.23,42.11,186033700.0,1.36,35.06
2023-09-22,44.41,45.35,44.03,45.16,16158700,47.05,46.54,46.05,0.13,-0.35,41.39,169875000.0,1.36,18.29
2023-09-25,44.91,45.11,44.11,44.14,9175400,46.65,46.58,46.06,0.01,-0.38,44.09,179050400.0,1.33,13.5
2023-09-26,44.27,45.39,44.04,44.5,11283600,46.28,46.59,46.03,-0.14,-0.42,41.46,167766800.0,1.33,11.41
2023-09-27,45.14,45.47,44.44,44.51,16835100,45.98,46.58,45.99,-0.19,-0.37,46.17,184601900.0,1.32,16.04
2023-09-28,46.14,46.58,44.92,44.92,22199200,45.76,46.56,45.97,-0.14,-0.26,51.05,206801100.0,1.35,23.84
2023-09-29,45.99,46.92,45.85,46.75,14237200,45.61,46.5,45.95,-0.11,-0.19,50.32,192563900.0,1.33,34.74
2023-10-02,45.68,46.29,45.1,45.57,14976700,45.53,46.43,45.92,-0.12,-0.15,48.75,177587200.0,1.32,39.31
2023-10-03,44.51,45.6,44.33,45.36,11033400,45.22,46.33,45.87,-0.21,-0.2,43.27,166553800.0,1.32,29.36
2023-10-04,44.94,45.49,44.18,44.79,12476100,45.06,46.28,45.82,-0.25,-0.19,45.69,179029900.0,1.32,23.68
2023-10-05,44.61,44.93,43.65,44.84,14518800,45.06,46.2,45.77,-0.3,-0.19,44.14,164511100.0,1.32,19.24
2023-10-06,45.78,45.94,44.06,44.06,14754800,45.2,46.12,45.75,-0.25,-0.11,50.55,179265900.0,1.36,32.47
2023-10-09,45.45,45.6,44.58,45.15,11422300,45.25,45.95,45.7,-0.23,-0.07,48.85,167843600.0,1.35,40.52
2023-10-10,46.63,47.28,45.55,45.75,14538600,45.49,45.89,45.64,-0.11,0.03,54.72,182382200.0,1.38,60.12
2023-10-11,46.64,47.21,46.26,46.9,12985500,45.64,45.81,45.64,-0.02,0.1,54.77,195367700.0,1.35,70.32
2023-10-12,45.95,47.04,45.6,46.54,15983600,45.62,45.69,45.62,-0.01,0.09,50.82,179384100.0,1.36,76.05
2023-10-13,43.48,46.29,42.7,45.82,28195100,45.37,45.49,45.57,-0.19,-0.07,39.75,151189000.0,1.52,54.33
2023-10-16,44.71,45.0,43.47,43.76,20447100,45.27,45.4,45.56,-0.24,-0.1,46.05,171636100.0,1.52,41.48
2023-10-17,44.38,45.26,44.05,44.41,17337800,45.26,45.24,45.55,-0.29,-0.12,44.7,154298300.0,1.49,32.57
2023-10-18,43.0,44.2,42.91,43.9,15388000,45.06,45.06,45.51,-0.45,-0.22,39.49,138910300.0,1.49,29.07
2023-10-19,42.72,43.27,42.19,43.02,16090000,44.87,44.97,45.48,-0.58,-0.29,38.5,122820300.0,1.46,17.93
2023-10-20,42.96,43.35,42.26,42.72,13941300,44.59,44.89,45.45,-0.66,-0.29,39.88,136761600.0,1.44,10.76
2023-10-23,43.04,43.97,42.25,42.53,11277100,44.35,44.8,45.43,-0.71,-0.27,40.36,148038700.0,1.46,14.18
2023-10-24,44.19,44.33,43.38,43.5,17566500,44.11,44.8,45.42,-0.65,-0.17,46.93,165605200.0,1.44,23.8
2023-10-25,42.35,43.49,42.06,43.3,16495900,43.68,44.66,45.39,-0.75,-0.21,39.45,149109300.0,1.49,20.55
2023-10-26,40.62,42.3,40.09,42.14,23465500,43.14,44.38,45.33,-0.95,-0.33,33.96,125643800.0,1.55,17.41
2023-10-27,41.23,42.15,40.8,41.21,17098600,42.92,44.14,45.27,-1.04,-0.34,37.27,142742400.0,1.55,9.57
2023-10-30,42.73,43.0,42.01,42.01,21292700,42.72,44.0,45.23,-0.99,-0.23,44.63,164035100.0,1.56,20.11
2023-10-31,43.28,43.53,42.2,42.82,18414000,42.61,43.93,45.2,-0.89,-0.11,47.07,182449100.0,1.55,32.95
2023-11-01,43.83,44.0,42.91,43.25,18989300,42.69,43.88,45.19,-0.76,0.02,49.48,201438400.0,1.51,47.77
2023-11-02,46.48,46.86,45.25,45.35,25816900,43.07,43.97,45.22,-0.44,0.27,59.12,227255300.0,1.62,66.87
2023-11-03,47.75,48.15,46.63,46.92,21946800,43.55,44.07,45.28,-0.08,0.51,62.79,249202100.0,1.63,83.25
2023-11-06,48.14,48.3,47.43,47.94,27843100,44.06,44.21,45.37,0.23,0.66,63.86,277045200.0,1.57,95.83
2023-11-07,49.92,50.04,46.68,47.0,81365400,44.63,44.37,45.48,0.62,0.83,68.34,358410600.0,1.7,97.29
2023-11-08,49.5,50.3,48.9,50.04,37726700,45.35,44.51,45.56,0.88,0.87,66.25,320683900.0,1.68,96.34
2023-11-09,50.05,50.68,49.02,49.3,29962300,46.29,44.72,45.63,1.12,0.89,67.65,350646200.0,1.68,95.0
2023-11-10,51.58,52.1,49.9,50.01,27228600,47.33,45.12,45.72,1.41,0.95,71.21,377874800.0,1.71,93.96
2023-11-13,52.24,52.42,50.72,51.17,21026900,48.28,45.5,45.83,1.68,0.97,72.61,398901700.0,1.71,96.09
2023-11-14,53.88,54.31,52.39,52.9,30621900,49.34,45.97,45.97,2.0,1.04,75.77,429523600.0,1.74,97.06
2023-11-15,53.76,54.26,53.16,53.92,22419700,50.33,46.51,46.13,2.22,1.01,75.09,407103900.0,1.69,97.15
2023-11-16,54.42,54.51,53.15,53.5,20810800,51.12,47.1,46.29,2.42,0.96,76.35,427914700.0,1.67,97.4
2023-11-17,54.44,54.51,54.01,54.13,16119500,51.79,47.67,46.44,2.55,0.88,76.39,444034200.0,1.59,98.21
2023-11-20,54.75,55.35,53.76,53.83,28511600,52.45,48.26,46.55,2.65,0.78,77.02,472545800.0,1.59,97.95
2023-11-21,54.85,55.08,53.89,54.23,34115500,52.95,48.79,46.69,2.71,0.67,77.23,506661300.0,1.56,96.52
2023-11-22,55.37,55.82,54.96,55.1,18459700,53.53,49.44,46.84,2.76,0.58,78.35,525121000.0,1.52,95.08
2023-11-24,55.32,55.94,55.07,55.15,10696800,54.06,50.18,46.98,2.77,0.47,77.95,514424200.0,1.47,94.48
2023-11-27,56.06,56.46,55.29,55.47,19101900,54.51,50.92,47.15,2.8,0.4,79.6,533526100.0,1.45,94.8
2023-11-28,56.21,56.45,55.69,55.98,20457500,54.91,51.59,47.34,2.8,0.32,79.92,553983600.0,1.4,95.35
2023-11-29,56.4,57.13,56.15,56.49,23496200,55.16,52.25,47.52,2.79,0.25,80.35,577479800.0,1.37,94.57
2023-11-30,56.38,56.77,55.53,56.61,32769800,55.42,52.87,47.71,2.75,0.16,80.16,544710000.0,1.36,92.46
2023-12-01,57.35,57.87,56.25,56.67,28162400,55.71,53.42,47.97,2.76,0.14,82.38,572872400.0,1.38,91.14
2023-12-04,58.63,60.92,58.57,60.01,85417300,56.13,53.96,48.25,2.84,0.18,84.81,658289700.0,1.53,85.19
2023-12-05,57.97,58.66,57.7,58.01,39170600,56.45,54.45,48.51,2.82,0.12,78.79,619119100.0,1.49,75.99
2023-12-06,59.75,59.98,58.36,58.37,33835000,56.94,54.95,48.82,2.91,0.17,82.41,652954100.0,1.53,73.38
2023-12-07,60.98,60.99,59.53,59.67,34410200,57.51,55.52,49.14,3.05,0.25,84.4,687364300.0,1.53,82.26
2023-12-08,61.7,62.25,60.51,60.51,28844800,58.14,56.1,49.45,3.18,0.3,85.43,716209100.0,1.54,92.75
2023-12-11,62.46,62.99,60.94,61.53,30389700,58.78,56.65,49.78,3.3,0.34,86.45,746598800.0,1.58,95.83
2023-12-12,62.72,63.03,61.83,62.06,27144300,59.43,57.17,50.12,3.39,0.34,86.8,773743100.0,1.55,94.64
2023-12-13,61.97,62.88,61.45,62.71,41661700,59.99,57.57,50.47,3.35,0.25,80.49,732081400.0,1.54,92.38
2023-12-14,62.5,62.81,60.61,62.01,44818100,60.6,58.01,50.82,3.33,0.18,81.52,776899500.0,1.59,92.06
2023-12-15,61.86,63.53,61.41,62.16,364231800,61.05,58.38,51.17,3.22,0.06,76.32,412667700.0,1.63,86.36
2023-12-18,61.73,62.49,61.33,62.01,28614000,61.36,58.75,51.49,3.09,-0.06,75.27,384053700.0,1.59,83.28
2023-12-19,62.12,62.7,61.69,61.88,26813800,61.78,59.12,51.82,2.99,-0.13,76.32,410867500.0,1.55,79.67
2023-12-20,60.68,62.28,60.62,61.49,28286100,61.87,59.41,52.1,2.75,-0.29,65.28,382581400.0,1.56,73.58
2023-12-21,61.46,61.76,60.83,61.24,19999600,61.92,59.71,52.4,2.6,-0.35,67.98,402581000.0,1.53,69.24
2023-12-22,61.71,62.24,61.28,61.7,14709400,61.92,60.03,52.71,2.47,-0.39,68.82,417290400.0,1.48,64.71
2023-12-26,61.98,62.2,61.31,61.71,16077200,61.87,60.33,53.08,2.37,-0.39,69.74,433367600.0,1.44,67.76
2023-12-27,63.28,63.43,62.0,62.0,20806000,61.93,60.68,53.45,2.36,-0.32,73.76,454173600.0,1.44,77.52
2023-12-28,63.14,63.53,62.83,63.45,13795600,62.05,61.02,53.83,2.32,-0.29,72.64,440378000.0,1.39,83.62
2023-12-29,61.57,63.14,61.3,62.36,21602500,61.95,61.28,54.2,2.13,-0.38,61.4,418775500.0,1.42,71.24
2024-01-02,58.38,60.91,57.93,60.73,41978600,61.6,61.33,54.51,1.71,-0.65,45.86,376796900.0,1.58,42.67
2024-01-03,58.25,58.9,57.33,57.48,31800600,61.26,61.31,54.82,1.34,-0.81,45.36,344996300.0,1.58,18.58
2024-01-04,57.8,58.99,57.73,58.25,20370700,60.82,61.3,55.11,1.01,-0.91,43.57,324625600.0,1.56,10.15
2024-01-05,57.58,58.51,57.22,58.11,17875200,60.51,61.19,55.38,0.72,-0.96,42.69,306750400.0,1.54,9.37
2024-01-08,59.01,59.16,57.85,58.09,21213000,60.27,61.09,55.72,0.59,-0.87,49.82,327963400.0,1.54,13.88
2024-01-09,60.3,60.54,58.45,58.5,22319900,60.13,61.02,56.11,0.6,-0.7,55.23,350283300.0,1.58,27.63
2024-01-10,62.41,62.61,60.28,60.28,30788900,60.17,61.02,56.53,0.76,-0.43,62.37,381072200.0,1.63,53.14
2024-01-11,63.47,63.61,61.86,62.99,28888900,60.19,61.06,56.95,0.96,-0.18,65.36,409961100.0,1.64,76.29
2024-01-12,63.2,64.92,63.0,63.2,26367100,60.2,61.12,57.35,1.09,-0.04,63.97,383594000.0,1.66,85.91
