Date,Open,High,Low,Close,Volume
2023-08-18,170.82,173.6,170.49,172.99,61114200
2023-08-21,173.57,174.62,172.25,174.33,46311900
2023-08-22,175.54,176.16,174.74,175.71,42084200
2023-08-23,176.99,179.99,176.8,179.57,52722800
2023-08-24,179.12,179.55,174.5,174.87,54945800
2023-08-25,175.86,177.61,174.31,177.08,51449600
2023-08-28,178.55,179.04,177.02,178.64,43820700
2023-08-29,178.16,183.31,177.96,182.54,53003900
2023-08-30,183.35,186.24,183.16,186.04,60813900
2023-08-31,186.23,187.5,185.87,186.26,60794500
2023-09-01,187.86,188.29,186.67,187.84,45732600
2023-09-05,186.67,188.35,186.0,188.07,45280000
2023-09-06,186.78,187.23,179.91,181.34,81755800
2023-09-07,173.68,176.68,172.05,176.04,112488800
2023-09-08,176.82,178.69,176.27,176.65,65551300
2023-09-11,178.53,178.75,175.82,177.82,58953100
2023-09-12,177.95,178.59,173.32,174.79,90370200
2023-09-13,175.0,175.78,172.49,172.72,84267900
2023-09-14,172.51,174.59,172.09,174.23,60895800
2023-09-15,174.97,174.99,172.33,173.51,109205100
2023-09-18,174.97,177.84,174.66,176.44,67257600
2023-09-19,176.0,178.09,175.61,177.53,51826900
2023-09-20,177.72,178.16,173.9,173.99,58436200
2023-09-21,173.05,174.79,172.37,172.44,63047900
2023-09-22,173.17,175.56,172.56,173.29,56725400
2023-09-25,172.71,175.45,172.66,174.57,46172700
2023-09-26,173.32,173.7,170.19,170.49,64588900
2023-09-27,171.14,171.56,167.6,168.97,66921800
2023-09-28,167.89,170.55,166.18,169.23,56294400
2023-09-29,170.54,171.59,168.88,169.74,51814200
2023-10-02,169.75,172.81,169.46,172.26,52164500
2023-10-03,170.78,172.14,169.36,170.92,49594600
2023-10-04,169.62,172.72,169.5,172.17,53020300
2023-10-05,172.3,173.95,171.2,173.41,48527900
2023-10-06,172.31,176.46,171.69,175.97,57224100
2023-10-09,175.29,177.51,174.29,177.45,42390800
2023-10-10,176.57,178.18,176.42,176.86,43698000
2023-10-11,176.67,178.31,176.08,178.26,47551100
2023-10-12,178.53,180.78,177.5,179.16,56743100
2023-10-13,179.86,180.37,176.61,177.32,51427100
2023-10-16,175.23,177.54,175.0,177.19,52517000
2023-10-17,175.14,176.89,173.3,175.63,57549400
2023-10-18,174.07,176.06,173.61,174.33,54764400
2023-10-19,174.53,176.31,173.69,173.96,59302900
2023-10-20,173.81,173.92,171.16,171.4,64189300
2023-10-23,169.44,172.52,168.47,171.52,55980100
2023-10-24,171.57,172.18,169.98,171.95,43816600
