Date,Open,High,Low,Close,Volume
2023-08-18,42.61,43.55,41.64,43.28,583768000
2023-08-21,44.47,47.04,44.2,46.94,692573000
2023-08-22,48.11,48.16,45.31,45.64,755293000
2023-08-23,45.84,47.17,45.18,47.09,779046000
2023-08-24,50.19,50.24,47.13,47.14,1156044000
2023-08-25,46.99,47.78,45.0,45.99,925341000
2023-08-28,46.46,46.95,44.86,46.81,685192000
2023-08-29,46.64,49.05,46.37,48.76,701397000
2023-08-30,49.02,49.9,48.4,49.24,735206000
2023-08-31,49.35,49.72,48.93,49.33,528570000
2023-09-01,49.73,49.77,48.12,48.48,463830000
2023-09-05,48.2,48.82,47.83,48.52,382653000
2023-09-06,48.42,48.53,46.56,47.04,468670000
2023-09-07,45.5,46.32,45.13,46.22,433330000
2023-09-08,45.92,46.58,45.25,45.55,473069000
2023-09-11,46.13,46.14,44.29,45.16,473966000
2023-09-12,44.72,45.65,44.51,44.85,349256000
2023-09-13,44.58,45.91,44.48,45.46,398355000
2023-09-14,45.93,45.97,45.11,45.56,370097000
2023-09-15,45.32,45.58,43.79,43.88,506831000
2023-09-18,42.73,44.22,41.98,43.95,500271000
2023-09-19,43.81,43.95,42.98,43.5,373064000
2023-09-20,43.58,43.88,42.2,42.22,367108000
2023-09-21,41.56,42.08,40.96,41.0,450736000
2023-09-22,41.55,42.1,41.21,41.59,479236000
2023-09-25,41.57,42.52,41.16,42.2,419091000
2023-09-26,41.98,42.8,41.64,41.89,402282000
2023-09-27,42.31,42.85,41.61,42.45,444935000
2023-09-28,42.44,43.43,42.1,43.07,424663000
2023-09-29,43.81,44.12,43.29,43.48,397830000
2023-10-02,44.01,45.15,43.84,44.76,433298000
2023-10-03,44.79,45.11,43.23,43.5,470850000
2023-10-04,43.72,44.12,43.27,44.02,361821000
2023-10-05,44.03,44.88,43.87,44.67,393483000
2023-10-06,44.17,45.77,44.01,45.74,434436000
2023-10-09,44.82,45.58,44.35,45.25,409675000
2023-10-10,45.29,46.24,45.07,45.78,368582000
2023-10-11,46.17,46.84,46.03,46.78,378137000
2023-10-12,46.76,47.59,46.31,46.92,481325000
2023-10-13,46.94,47.09,45.26,45.44,474115000
2023-10-16,45.04,46.2,44.89,46.07,375099000
2023-10-17,43.98,44.73,42.46,43.92,812333000
2023-10-18,42.57,43.2,41.81,42.18,627294000
2023-10-19,42.79,43.28,41.86,42.08,501233000
2023-10-20,41.87,42.45,41.06,41.37,477266000
2023-10-23,41.21,43.23,40.93,42.96,478530000
2023-10-24,43.06,43.68,42.67,43.64,401463000
2023-10-25,43.38,43.63,41.54,41.76,398379000
2023-10-26,41.83,42.24,39.86,40.31,541001000
2023-10-27,41.11,41.19,40.0,40.48,416784000
