Date,Open,High,Low,Close,Volume
2023-08-18,43.27,44.84,43.19,44.69,17132100.0
2023-08-21,44.98,45.3,44.01,44.63,15362100.0
2023-08-22,44.94,45.18,44.02,44.35,13599800.0
2023-08-23,44.0,45.62,44.0,45.14,14625800.0
2023-08-24,45.24,45.72,44.64,44.68,18129600.0
2023-08-25,44.71,44.84,43.08,43.96,19132500.0
2023-08-28,44.11,44.52,43.71,44.15,10424100.0
2023-08-29,44.21,45.58,44.12,45.35,11335400.0
2023-08-30,45.35,46.75,45.3,46.51,19869400.0
2023-08-31,46.69,47.57,46.52,47.23,19263800.0
2023-09-01,47.51,47.7,46.83,47.04,14607000.0
2023-09-05,46.87,47.14,46.3,46.55,16461700.0
2023-09-06,46.34,46.85,45.61,45.9,14262700.0
2023-09-07,45.5,46.68,45.25,46.27,14972200.0
2023-09-08,46.34,47.25,46.27,47.24,15956900.0
2023-09-11,47.74,48.97,47.65,48.94,19007300.0
2023-09-12,48.34,49.19,47.9,47.92,18809000.0
2023-09-13,47.51,48.36,47.28,48.16,12691800.0
2023-09-14,48.63,48.69,47.81,48.32,13068200.0
2023-09-15,48.19,48.49,47.27,47.52,16125700.0
2023-09-18,47.3,47.35,46.48,46.51,15025500.0
2023-09-19,46.4,47.76,46.21,47.59,19180200.0
2023-09-20,46.87,47.54,46.4,46.55,22582000.0
2023-09-21,45.79,45.79,43.93,44.6,27865700.0
2023-09-22,45.16,45.35,44.03,44.41,16158700.0
2023-09-25,44.14,45.11,44.11,44.91,9175400.0
2023-09-26,44.5,45.39,44.04,44.27,11283600.0
2023-09-27,44.51,45.47,44.44,45.14,16835100.0
2023-09-28,44.92,46.58,44.92,46.14,22199200.0
2023-09-29,46.75,46.92,45.85,45.99,14237200.0
2023-10-02,45.57,46.29,45.1,45.68,14976700.0
2023-10-03,45.36,45.6,44.33,44.51,11033400.0
2023-10-04,44.79,45.49,44.18,44.94,12476100.0
2023-10-05,44.84,44.93,43.65,44.61,14518800.0
2023-10-06,44.06,45.94,44.06,45.78,14754800.0
2023-10-09,45.15,45.6,44.58,45.45,11422300.0
2023-10-10,45.75,47.28,45.55,46.63,14538600.0
2023-10-11,46.9,47.21,46.26,46.64,12985500.0
2023-10-12,46.54,47.04,45.6,45.95,15983600.0
2023-10-13,45.82,46.29,42.7,43.48,28195100.0
2023-10-16,43.76,45.0,43.47,44.71,20447100.0
2023-10-17,44.41,45.26,44.05,44.38,17337800.0
2023-10-18,43.9,44.2,42.91,43.0,15388000.0
2023-10-19,43.02,43.27,42.19,42.72,16090000.0
2023-10-20,42.72,43.35,42.26,42.96,13941300.0
2023-10-23,42.53,43.97,42.25,43.04,11277100.0
2023-10-24,43.5,44.33,43.38,44.19,17566500.0
2023-10-25,43.3,43.49,42.06,42.35,16495900.0
2023-10-26,42.14,42.3,40.09,40.62,23465500.0
2023-10-27,41.21,42.15,40.8,41.23,17098600.0
2023-10-30,42.01,43.0,42.01,42.73,21292700.0
2023-10-31,42.82,43.53,42.2,43.28,18414000.0
2023-11-01,43.25,44.0,42.91,43.83,18989300.0
2023-11-02,45.35,46.86,45.25,46.48,25816900.0
2023-11-03,46.92,48.15,46.63,47.75,21946800.0
2023-11-06,47.94,48.3,47.43,48.14,27843100.0
2023-11-07,47.0,50.04,46.68,49.92,81365400.0
2023-11-08,50.04,50.3,48.9,49.5,37726700.0
2023-11-09,49.3,50.68,49.02,50.05,29962300.0
2023-11-10,50.01,52.1,49.9,51.58,27228600.0
2023-11-13,51.17,52.42,50.72,52.24,21026900.0
2023-11-14,52.9,54.31,52.39,53.88,30621900.0
2023-11-15,53.92,54.26,53.16,53.76,22419700.0
2023-11-16,53.5,54.51,53.15,54.42,20810800.0
2023-11-17,54.13,54.51,54.01,54.44,16119500.0
2023-11-20,53.83,55.35,53.76,54.75,28511600.0
2023-11-21,54.23,55.08,53.89,54.85,34115500.0
2023-11-22,55.1,55.82,54.96,55.37,18459700.0
2023-11-24,55.15,55.94,55.07,55.32,10696800.0
2023-11-27,55.47,56.46,55.29,56.06,19101900.0
2023-11-28,55.98,56.45,55.69,56.21,20457500.0
2023-11-29,56.49,57.13,56.15,56.4,23496200.0
2023-11-30,56.61,56.77,55.53,56.38,32769800.0
2023-12-01,56.67,57.87,56.25,57.35,28162400.0
2023-12-04,60.01,60.92,58.57,58.63,85417300.0
2023-12-05,58.01,58.66,57.7,57.97,39170600.0
2023-12-06,58.37,59.98,58.36,59.75,33835000.0
2023-12-07,59.67,60.99,59.53,60.98,34410200.0
2023-12-08,60.51,62.25,60.51,61.7,28844800.0
2023-12-11,61.53,62.99,60.94,62.46,30389700.0
2023-12-12,62.06,63.03,61.83,62.72,27144300.0
2023-12-13,62.71,62.88,61.45,61.97,41661700.0
2023-12-14,62.01,62.81,60.61,62.5,44818100.0
2023-12-15,62.16,63.53,61.41,61.86,364231800.0
2023-12-18,62.01,62.49,61.33,61.73,28614000.0
2023-12-19,61.88,62.7,61.69,62.12,26813800.0
2023-12-20,61.49,62.28,60.62,60.68,28286100.0
2023-12-21,61.24,61.76,60.83,61.46,19999600.0
2023-12-22,61.7,62.24,61.28,61.71,14709400.0
2023-12-26,61.71,62.2,61.31,61.98,16077200.0
2023-12-27,62.0,63.43,62.0,63.28,20806000.0
2023-12-28,63.45,63.53,62.83,63.14,13795600.0
2023-12-29,62.36,63.14,61.3,61.57,21602500.0
2024-01-02,60.73,60.91,57.93,58.38,41978600.0
2024-01-03,57.48,58.9,57.33,58.25,31800600.0
2024-01-04,58.25,58.99,57.73,57.8,20370700.0
2024-01-05,58.11,58.51,57.22,57.58,17875200.0
2024-01-08,58.09,59.16,57.85,59.01,21213000.0
2024-01-09,58.5,60.54,58.45,60.3,22319900.0
2024-01-10,60.28,62.61,60.28,62.41,30788900.0
2024-01-11,62.99,63.61,61.86,63.47,28888900.0
2024-01-12,63.2,64.92,63.0,63.2,26367100.0
2024-01-16,63.0,64.0,62.92,63.65,19511800.0
2024-01-17,62.95,63.42,61.68,63.12,19971600.0
2024-01-18,64.0,65.0,63.38,64.88,24149900.0
2024-01-19,64.9,65.39,64.41,65.11,20332900.0
2024-01-22,65.44,65.61,64.15,64.55,17851700.0
2024-01-23,64.5,64.81,63.69,64.32,13619600.0
2024-01-24,64.0,64.4,63.22,63.76,17238100.0
2024-01-25,64.28,66.03,63.71,66.0,21963000.0
2024-01-26,65.65,66.04,65.29,65.52,13099600.0
2024-01-29,65.6,67.1,65.56,66.98,15902000.0
2024-01-30,66.9,67.69,66.22,66.84,17562100.0
2024-01-31,65.7,66.25,64.85,65.27,17026400.0
2024-02-01,66.12,66.85,65.59,66.73,12504200.0
2024-02-02,66.98,68.25,66.51,68.07,18642700.0
2024-02-05,68.24,69.99,67.86,68.99,26079500.0
2024-02-06,69.06,70.68,68.44,70.47,34464000.0
2024-02-07,67.6,71.9,67.24,70.65,43367000.0
2024-02-08,71.93,73.05,71.19,71.61,21618200.0
2024-02-09,71.43,72.04,69.69,70.91,20858700.0
2024-02-12,71.0,71.38,68.74,69.12,19554900.0
2024-02-13,67.89,69.55,66.71,68.99,22857100.0
2024-02-14,74.6,79.2,74.31,79.15,69846700.0
2024-02-15,79.0,81.86,78.28,81.39,40330200.0
2024-02-16,80.55,80.88,78.11,78.41,24442600.0
2024-02-20,78.23,78.42,75.82,76.6,24203100.0
2024-02-21,76.32,77.49,75.88,76.44,15102100.0
2024-02-22,79.59,79.72,77.51,78.03,16766400.0
2024-02-23,78.5,78.97,77.72,78.2,15648800.0
2024-02-26,78.28,78.5,77.3,78.36,16617300.0
2024-02-27,78.64,79.75,77.81,78.75,13707300.0
