Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,177.79,178.62,176.55,177.32,51988100,185.04,189.41,187.44,-2.67,-2.16,28.66,-195473800.0,3.32,5.53
2023-08-14,179.46,179.69,177.31,177.97,43675600,183.34,188.68,187.43,-2.85,-1.87,33.77,-151798200.0,3.25,8.28
2023-08-15,177.45,179.48,177.05,178.88,43622600,181.53,187.87,187.36,-3.11,-1.71,30.9,-195420800.0,3.19,8.15
2023-08-16,176.57,178.54,176.5,177.13,46964900,179.92,186.94,187.3,-3.35,-1.56,29.71,-242385700.0,3.11,6.27
2023-08-17,174.0,177.51,173.48,177.14,66062900,178.21,185.99,187.2,-3.71,-1.53,26.5,-308448600.0,3.18,2.31
2023-08-18,174.49,175.1,171.96,172.3,61114200,177.46,185.11,187.13,-3.91,-1.38,28.09,-247334400.0,3.17,4.27
2023-08-21,175.84,176.13,173.74,175.07,46311900,177.16,184.27,187.03,-3.91,-1.11,32.44,-201022500.0,3.12,9.72
2023-08-22,177.23,177.68,176.25,177.06,42084200,176.9,183.45,186.96,-3.75,-0.76,36.69,-158938300.0,3.02,17.58
2023-08-23,181.12,181.55,178.33,178.52,52722800,177.19,182.78,186.91,-3.28,-0.23,46.78,-106215500.0,3.12,33.98
2023-08-24,176.38,181.1,176.01,180.67,54945800,177.03,181.94,186.77,-3.25,-0.16,38.69,-161161300.0,3.26,41.6
2023-08-25,178.61,179.15,175.82,177.38,51449600,177.12,181.08,186.66,-3.01,0.06,43.63,-109711700.0,3.27,56.11
2023-08-28,180.19,180.59,178.55,180.09,43820700,177.19,180.26,186.54,-2.67,0.33,46.89,-65891000.0,3.18,64.91
2023-08-29,184.12,184.9,179.5,179.7,53003900,177.86,179.69,186.53,-2.05,0.75,54.02,-12887100.0,3.34,83.04
2023-08-30,187.65,187.85,184.74,184.94,60813900,178.96,179.44,186.58,-1.26,1.23,59.31,47926800.0,3.37,92.84
2023-08-31,187.87,189.12,187.48,187.84,60794500,180.35,179.28,186.66,-0.61,1.51,59.62,108721300.0,3.24,95.14
2023-09-01,189.46,189.92,188.28,189.49,45732600,181.85,179.65,186.71,0.03,1.72,61.89,154453900.0,3.16,96.3
2023-09-05,189.7,189.98,187.61,188.28,45280000,183.23,180.19,186.77,0.55,1.79,62.24,199733900.0,3.1,96.2
2023-09-06,182.91,188.85,181.47,188.4,81755800,183.8,180.35,186.72,0.41,1.32,48.77,117978100.0,3.47,85.55
2023-09-07,177.56,178.21,173.54,175.18,112488800,183.44,180.32,186.51,-0.13,0.63,41.21,5489300.0,3.89,63.43
2023-09-08,178.18,180.24,177.79,178.35,65551300,183.62,180.33,186.29,-0.5,0.2,42.33,71040600.0,3.81,40.02
2023-09-11,179.36,180.3,177.34,180.07,58953100,183.7,180.41,186.09,-0.69,0.01,44.49,129993700.0,3.75,31.57
2023-09-12,176.3,180.13,174.82,179.49,90370200,183.31,180.25,185.73,-1.08,-0.3,40.27,39623500.0,3.86,26.8
2023-09-13,174.21,177.3,173.98,176.51,84267900,182.32,180.09,185.37,-1.54,-0.61,37.65,-44644400.0,3.82,18.76
2023-09-14,175.74,176.1,173.58,174.0,60895800,181.13,180.05,185.06,-1.75,-0.66,40.7,16251400.0,3.73,11.42
2023-09-15,175.01,176.5,173.82,176.48,109205100,179.84,180.1,184.72,-1.96,-0.7,39.7,-92953700.0,3.65,8.8
2023-09-18,177.97,179.38,176.17,176.48,67257600,178.69,180.27,184.47,-1.87,-0.48,45.52,-25696100.0,3.7,16.42
2023-09-19,179.07,179.63,177.13,177.52,51826900,177.63,180.43,184.27,-1.69,-0.24,47.55,26130800.0,3.62,23.18
2023-09-20,175.49,179.7,175.4,179.26,58436200,176.89,180.35,184.02,-1.81,-0.29,42.06,-32305400.0,3.67,24.15
2023-09-21,173.93,176.3,173.86,174.55,63047900,176.53,179.99,183.71,-2.01,-0.39,39.9,-95353300.0,3.58,15.96
2023-09-22,174.79,177.08,174.05,174.67,56725400,176.19,179.91,183.39,-2.08,-0.37,41.68,-38627900.0,3.55,7.28
2023-09-25,176.08,176.97,174.15,174.2,46172700,175.86,179.78,183.1,-2.0,-0.23,44.34,7544800.0,3.49,8.86
2023-09-26,171.96,175.2,171.66,174.82,64588900,175.43,179.37,182.66,-2.25,-0.38,38.33,-57044100.0,3.56,9.22
2023-09-27,170.43,173.04,169.05,172.62,66921800,175.05,178.68,182.19,-2.54,-0.54,36.36,-123965900.0,3.59,10.78
2023-09-28,170.69,172.03,167.62,169.34,56294400,174.54,177.84,181.7,-2.71,-0.57,36.95,-67671500.0,3.65,13.32
2023-09-29,171.21,173.07,170.34,172.02,51814200,174.16,177.0,181.27,-2.78,-0.51,38.19,-15857300.0,3.58,21.73
2023-10-02,173.75,174.3,170.93,171.22,52164500,173.74,176.22,180.9,-2.6,-0.26,43.99,36307200.0,3.57,34.55
2023-10-03,172.4,173.63,170.82,172.26,49594600,173.07,175.35,180.5,-2.53,-0.16,41.75,-13287400.0,3.52,39.67
2023-10-04,173.66,174.21,170.97,171.09,53020300,172.89,174.89,180.1,-2.35,0.02,44.59,39732900.0,3.5,46.77
2023-10-05,174.91,175.45,172.68,173.79,48527900,172.99,174.76,179.7,-2.09,0.23,47.33,88260800.0,3.45,49.97
2023-10-06,177.49,177.99,173.18,173.8,57224100,173.26,174.72,179.39,-1.65,0.53,52.55,145484900.0,3.55,64.02
2023-10-09,178.99,179.05,175.8,176.81,42390800,173.55,174.7,179.05,-1.16,0.81,55.33,187875700.0,3.53,78.73
2023-10-10,178.39,179.72,177.95,178.1,43698000,174.19,174.81,178.69,-0.82,0.93,53.97,144177700.0,3.4,88.28
2023-10-11,179.8,179.85,177.6,178.2,47551100,175.13,175.09,178.38,-0.43,1.05,56.66,191728800.0,3.32,94.24
2023-10-12,180.71,182.34,179.04,180.07,56743100,176.13,175.34,178.14,-0.05,1.15,58.36,248471900.0,3.32,92.51
2023-10-13,178.85,181.93,178.14,181.42,51427100,176.9,175.53,177.89,0.11,1.04,53.73,197044800.0,3.35,88.27
2023-10-16,178.72,179.08,176.51,176.75,52517000,177.39,175.57,177.83,0.21,0.92,53.42,144527800.0,3.3,80.21
2023-10-17,177.15,178.42,174.8,176.65,57549400,177.87,175.47,177.79,0.17,0.7,49.59,86978400.0,3.34,72.15
2023-10-18,175.84,177.58,175.11,175.58,54764400,178.09,175.49,177.71,0.03,0.45,46.6,32214000.0,3.28,61.99
2023-10-19,175.46,177.84,175.19,176.04,59302900,178.14,175.56,177.66,-0.11,0.25,45.73,-27088900.0,3.23,50.28
2023-10-20,172.88,175.42,172.64,175.31,64189300,177.68,175.47,177.56,-0.42,-0.05,40.28,-91278200.0,3.2,34.66
2023-10-23,173.0,174.01,169.93,170.91,55980100,177.08,175.31,177.46,-0.66,-0.23,40.63,-35298100.0,3.27,27.63
2023-10-24,173.44,173.67,171.45,173.05,43816600,176.59,175.39,177.34,-0.79,-0.29,41.99,8518500.0,3.19,23.63
2023-10-25,171.1,173.06,170.65,171.88,57157000,175.72,175.42,177.21,-1.08,-0.46,37.12,-48638500.0,3.16,20.82
2023-10-26,166.89,171.38,165.67,170.37,70625300,174.33,175.23,177.02,-1.63,-0.81,30.31,-119263800.0,3.34,15.01
2023-10-27,168.22,168.96,166.83,166.91,58499100,173.27,175.08,176.9,-1.93,-0.89,34.4,-60764700.0,3.26,10.68
2023-10-30,170.29,171.17,168.87,169.02,51131000,172.43,174.91,176.82,-1.99,-0.76,40.29,-9633700.0,3.24,16.78
2023-10-31,170.77,170.9,167.9,169.35,44846000,171.79,174.83,176.72,-1.97,-0.59,41.59,35212300.0,3.22,24.54
2023-11-01,173.97,174.23,170.12,171.0,56934900,171.6,174.84,176.65,-1.67,-0.24,49.53,92147200.0,3.28,36.45
2023-11-02,177.57,177.78,175.46,175.52,77334800,171.81,174.98,176.58,-1.14,0.24,56.67,169482000.0,3.32,56.79
2023-11-03,176.65,176.82,173.35,174.24,79763700,172.19,174.93,176.59,-0.78,0.48,54.54,89718300.0,3.38,75.3
2023-11-06,179.23,179.43,176.21,176.38,63841300,172.81,174.95,176.6,-0.28,0.78,59.16,153559600.0,3.37,91.13
2023-11-07,181.82,182.44,178.97,179.18,70530000,173.65,175.12,176.63,0.32,1.1,63.2,224089600.0,3.38,93.66
2023-11-08,182.89,183.45,181.59,182.35,49340300,174.83,175.27,176.61,0.87,1.32,64.76,273429900.0,3.27,97.23
2023-11-09,182.41,184.12,181.81,182.96,53763500,176.38,175.36,176.5,1.25,1.37,63.46,219666400.0,3.2,94.63
2023-11-10,186.4,186.57,183.53,183.97,66133400,178.2,175.74,176.47,1.86,1.58,69.0,285799800.0,3.27,95.59
2023-11-13,184.8,186.03,184.21,185.82,43627500,179.65,176.04,176.38,2.18,1.52,64.76,242172300.0,3.19,93.82
2023-11-14,187.44,188.11,186.3,187.7,60108400,181.32,176.55,176.34,2.62,1.57,68.23,302280700.0,3.2,95.91
2023-11-15,188.01,189.5,187.78,187.85,53790500,182.72,177.16,176.44,2.98,1.54,68.94,356071200.0,3.12,93.99
2023-11-16,189.71,190.96,188.65,189.57,54412900,183.94,177.87,176.68,3.37,1.54,71.03,410484100.0,3.11,95.01
