Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,1912.9,1916.6,1911.8,1913.0,57,1932.05,1947.87,1942.8,-8.52,-4.79,37.02,-173717.0,15.03,3.45
2023-08-14,1910.6,1912.6,1903.3,1909.3,46,1926.06,1945.78,1941.45,-9.56,-4.66,36.22,-173763.0,14.64,6.02
2023-08-15,1902.5,1907.7,1895.0,1906.0,73,1922.24,1942.04,1940.45,-10.91,-4.81,33.48,-173836.0,14.71,7.63
2023-08-16,1896.1,1904.5,1890.3,1904.5,22,1918.11,1937.97,1939.22,-12.35,-5.0,31.46,-173858.0,14.67,9.18
2023-08-17,1884.1,1902.4,1884.0,1893.7,245,1913.32,1933.76,1937.59,-14.3,-5.56,28.04,-174103.0,14.94,5.68
2023-08-18,1886.1,1891.8,1886.1,1891.8,19,1907.97,1929.85,1936.46,-15.5,-5.41,29.42,-174084.0,14.41,3.28
2023-08-21,1893.3,1893.6,1893.3,1893.6,876,1903.95,1926.5,1935.05,-15.69,-4.48,34.29,-173208.0,13.91,5.35
2023-08-22,1896.4,1896.8,1892.8,1894.6,46,1901.18,1923.22,1933.73,-15.42,-3.36,36.33,-173162.0,13.19,12.09
2023-08-23,1918.5,1918.5,1909.6,1909.6,547,1901.49,1920.7,1933.0,-13.26,-0.97,48.59,-172615.0,13.84,30.08
2023-08-24,1918.2,1920.8,1918.2,1920.0,337,1901.87,1919.33,1932.47,-11.45,0.68,48.45,-172952.0,13.02,45.63
2023-08-25,1911.1,1919.8,1911.1,1919.8,195,1901.69,1916.87,1931.59,-10.46,1.33,45.22,-173147.0,12.71,57.21
2023-08-28,1917.9,1921.5,1915.5,1915.5,99,1902.42,1914.24,1930.79,-9.03,2.21,48.75,-173048.0,12.54,63.58
2023-08-29,1936.5,1936.5,1916.9,1917.9,1674,1905.82,1914.03,1930.35,-6.32,3.94,56.92,-171374.0,13.05,76.92
2023-08-30,1944.3,1946.4,1934.6,1936.0,396,1910.64,1914.38,1930.53,-3.5,5.41,59.81,-170978.0,12.96,90.77
2023-08-31,1938.2,1944.4,1938.2,1944.4,491,1916.05,1914.68,1930.62,-1.74,5.73,56.61,-171469.0,12.48,94.5
2023-09-01,1939.8,1950.0,1936.6,1950.0,167,1921.42,1914.7,1931.17,-0.21,5.81,57.26,-171302.0,12.54,89.35
2023-09-05,1926.2,1934.4,1924.7,1934.4,113,1924.71,1914.33,1931.31,-0.1,4.74,50.38,-171415.0,12.73,78.45
2023-09-06,1918.1,1925.3,1916.3,1924.1,24,1926.88,1914.03,1931.2,-0.65,3.35,46.78,-171439.0,12.52,66.72
2023-09-07,1917.5,1921.5,1917.5,1917.6,41,1926.78,1914.13,1931.27,-1.13,2.3,46.52,-171480.0,11.91,54.92
2023-09-08,1918.4,1924.7,1918.4,1924.0,105,1926.8,1914.33,1931.39,-1.42,1.61,47.0,-171375.0,11.57,48.52
2023-09-11,1923.3,1928.3,1921.8,1923.0,50,1928.02,1914.85,1931.67,-1.23,1.43,49.68,-171325.0,11.45,49.07
2023-09-12,1911.3,1920.8,1911.3,1920.8,365,1927.36,1914.89,1931.47,-2.04,0.5,43.84,-171690.0,11.49,34.1
2023-09-13,1909.1,1914.6,1908.9,1910.3,15,1924.62,1915.22,1931.22,-2.82,-0.22,42.84,-171705.0,11.08,19.34
2023-09-14,1910.0,1910.0,1903.0,1903.0,169,1921.19,1915.92,1931.03,-3.32,-0.58,43.41,-171536.0,10.78,6.53
2023-09-15,1923.7,1927.3,1923.5,1923.5,8,1919.74,1917.9,1931.33,-2.59,0.12,51.31,-171528.0,11.25,19.81
2023-09-18,1931.5,1931.5,1926.4,1928.2,19,1918.91,1920.17,1931.44,-1.36,1.08,55.15,-171509.0,11.0,39.86
