Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,138.41,139.33,137.0,137.4,42832100,135.9,133.36,129.91,2.61,0.63,59.85,527319600.0,3.78,69.43
2023-08-14,140.57,140.59,137.75,138.3,47148700,136.59,133.72,130.27,2.79,0.65,62.88,574468300.0,3.71,74.6
2023-08-15,137.67,141.28,137.23,140.05,42781500,137.19,133.96,130.54,2.67,0.42,56.69,531686800.0,3.74,72.71
2023-08-16,135.07,137.27,135.01,137.19,41675900,137.88,133.94,130.73,2.33,0.07,51.77,490010900.0,3.66,66.07
2023-08-17,133.98,136.09,133.53,135.46,48354100,138.38,134.14,130.88,1.96,-0.24,49.81,441656800.0,3.58,53.21
2023-08-18,133.22,134.07,131.15,131.62,48469400,137.75,134.3,131.12,1.58,-0.5,48.44,393187400.0,3.53,44.6
2023-08-21,134.68,135.19,132.71,133.74,41442500,137.0,134.6,131.33,1.38,-0.56,51.22,434629900.0,3.45,43.84
2023-08-22,134.25,135.65,133.73,135.08,32935100,136.43,134.85,131.55,1.18,-0.61,50.36,401694800.0,3.34,44.37
2023-08-23,135.52,135.95,133.22,134.5,42801000,136.19,135.22,131.73,1.11,-0.54,52.88,444495800.0,3.3,42.86
2023-08-24,131.84,136.78,131.83,136.4,43646300,135.52,135.4,131.83,0.74,-0.73,45.65,400849500.0,3.42,28.87
2023-08-25,133.26,133.87,130.58,132.47,44147500,135.01,135.46,131.97,0.56,-0.72,48.57,444997000.0,3.41,22.04
2023-08-28,133.14,133.95,131.85,133.78,34108400,134.26,135.43,132.09,0.41,-0.7,48.34,410888600.0,3.31,18.34
2023-08-29,134.91,135.14,133.25,133.38,38646100,133.99,135.59,132.27,0.42,-0.55,52.04,449534700.0,3.22,29.81
2023-08-30,135.07,135.68,133.92,134.93,36137000,133.99,135.93,132.46,0.44,-0.43,52.38,485671700.0,3.11,35.45
2023-08-31,138.01,138.79,135.0,135.06,58781300,134.39,136.39,132.72,0.68,-0.15,58.13,544453000.0,3.16,50.62
