Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-07-20,29792.02,30195.53,29638.1,29915.25,14655207121,30307.6,30393.25,28815.22,329.6,-252.42,48.63,52893477429.0,742.54,13.19
2023-07-21,29908.74,30046.0,29733.85,29805.11,10972789818,30236.38,30359.18,28876.99,284.35,-238.13,50.05,63866267247.0,711.02,13.96
2023-07-22,29771.8,29991.62,29664.12,29908.7,7873300598,30174.4,30316.73,28927.44,234.73,-230.2,48.36,55992966649.0,682.98,11.86
2023-07-23,30084.54,30330.64,29741.53,29790.11,9220145050,30035.25,30263.14,28987.63,218.13,-197.44,52.33,65213111699.0,676.13,16.18
2023-07-24,29176.92,30093.39,28934.29,30081.66,15395817395,29919.53,30183.1,29028.78,130.24,-228.27,42.19,49817294304.0,711.32,13.78
2023-07-25,29227.39,29353.16,29062.43,29178.97,10266772793,29812.69,30118.76,29098.13,63.92,-235.67,42.85,60084067097.0,680.72,14.0
2023-07-26,29354.97,29675.55,29113.91,29225.76,13497554655,29723.28,30091.05,29140.45,21.41,-222.54,44.58,73581621752.0,672.07,11.07
2023-07-27,29210.69,29560.97,29099.35,29353.8,10770779217,29629.76,30034.47,29197.75,-23.65,-214.08,43.0,62810842535.0,656.8,11.74
2023-07-28,29319.25,29521.51,29125.85,29212.16,11218474952,29576.02,29985.8,29253.97,-50.03,-192.37,44.59,74029317487.0,637.87,16.88
2023-07-29,29356.92,29396.84,29264.17,29319.45,6481775959,29520.32,29945.09,29311.5,-67.12,-167.56,45.17,80511093446.0,601.29,21.39
2023-07-30,29275.31,29443.17,29059.5,29357.09,8678454527,29468.65,29888.13,29379.98,-86.25,-149.36,44.1,71832638919.0,585.54,26.01
2023-07-31,29230.11,29489.87,29131.58,29278.31,11656781982,29400.79,29818.59,29445.78,-103.86,-133.58,43.49,60175856937.0,569.12,24.54
2023-08-01,29675.73,29675.73,28657.02,29230.87,18272392391,29391.18,29782.79,29521.24,-80.93,-88.52,50.75,78448249328.0,601.58,35.46
2023-08-02,29151.96,29988.0,28946.51,29704.15,19212655598,29297.92,29666.59,29585.91,-103.83,-89.13,43.65,59235593730.0,633.33,37.21
2023-08-03,29178.68,29375.71,28959.49,29161.81,12780357746,29298.1,29608.82,29666.99,-118.45,-83.0,44.08,72015951476.0,617.67,40.54
2023-08-04,29074.09,29302.08,28885.34,29174.38,12036639988,29282.77,29547.73,29736.94,-136.9,-81.16,42.71,59979311488.0,603.19,28.55
2023-08-05,29042.13,29102.46,28957.8,29075.39,6598366353,29251.49,29487.38,29791.23,-152.34,-77.28,42.27,53380945135.0,570.18,26.37
2023-08-06,29041.86,29160.82,28963.83,29043.7,7269806994,29234.6,29432.18,29841.86,-162.73,-70.13,42.27,46111138141.0,543.32,24.91
2023-08-07,29180.58,29244.28,28724.14,29038.51,13618163710,29220.74,29398.38,29898.75,-157.94,-52.28,45.08,59729301851.0,541.65,29.71
2023-08-08,29765.49,30176.8,29113.81,29180.02,17570561357,29261.59,29390.96,29957.03,-105.74,-0.06,55.0,77299863208.0,579.13,46.35
2023-08-09,29561.49,30093.44,29376.8,29766.7,18379521213,29290.21,29379.43,29981.71,-79.9,20.62,51.51,58920341995.0,589.01,57.26
2023-08-10,29429.59,29688.56,29354.45,29563.97,11865344789,29310.16,29355.47,29969.76,-69.27,25.0,49.32,47054997206.0,570.7,61.09
2023-08-11,29397.71,29517.77,29253.52,29424.9,10195168197,29282.36,29336.77,29959.47,-62.7,25.26,48.78,36859829009.0,548.7,53.03
2023-08-12,29415.96,29465.11,29357.59,29399.79,6194358008,29308.76,29303.34,29933.88,-55.38,26.06,49.13,43054187017.0,517.03,49.84
2023-08-13,29282.91,29441.43,29265.81,29416.59,7329897180,29319.18,29308.64,29908.56,-59.62,17.45,46.68,35724289837.0,492.54,46.62
2023-08-14,29408.44,29660.25,29124.11,29283.26,14013695304,29352.62,29317.69,29887.13,-52.26,19.86,49.25,49737985141.0,495.67,46.85
2023-08-15,29170.35,29439.12,29088.85,29408.05,12640195779,29365.44,29308.46,29865.11,-64.88,5.78,44.83,37097789362.0,485.24,40.45
2023-08-16,28701.78,29221.98,28701.78,29169.07,14949271904,29331.43,29283.02,29825.38,-111.41,-32.6,37.68,22148517458.0,487.75,26.72
2023-08-17,26664.55,28745.95,25409.11,28699.8,31120851211,29079.83,29150.28,29756.95,-309.12,-184.24,21.56,-8972333753.0,691.93,19.02
2023-08-18,26049.56,26808.2,25668.92,26636.08,24026236529,28708.24,28984.91,29669.03,-509.55,-307.74,18.93,-32998570282.0,723.98,13.26
2023-08-19,26096.21,26249.45,25802.41,26047.83,10631443812,28361.71,28825.96,29581.41,-657.05,-364.19,19.73,-22367126470.0,704.15,18.06
2023-08-20,26189.58,26260.68,26004.31,26096.86,9036580420,28037.71,28673.93,29493.4,-757.68,-371.86,21.4,-13330546050.0,672.08,14.74
2023-08-21,26124.14,26220.2,25846.09,26188.69,13371557893,27710.35,28496.35,29403.47,-833.11,-357.83,21.07,-26702103943.0,650.74,15.26
2023-08-22,26031.66,26135.51,25520.73,26130.75,14503820706,27371.92,28340.34,29300.97,-890.09,-331.84,20.58,-41205924649.0,648.17,14.89
2023-08-23,26431.64,26786.9,25805.0,26040.47,16985265785,27086.79,28202.99,29214.06,-892.68,-267.55,28.28,-24220658864.0,672.05,17.39
2023-08-24,26162.37,26554.91,25914.93,26431.52,12871532023,26762.18,28057.4,29127.02,-906.01,-224.71,26.42,-37092190887.0,669.76,18.3
2023-08-25,26047.67,26248.1,25786.81,26163.68,12406045118,26449.92,27907.68,29049.79,-915.29,-187.19,25.65,-49498236005.0,654.84,18.88
2023-08-26,26008.46,26107.38,25983.88,26047.23,6034817316,26180.58,27756.01,28963.11,-915.25,-149.72,25.38,-55533053321.0,616.82,15.61
2023-08-27,26089.69,26165.37,25965.1,26008.24,6913768611,26123.1,27601.46,28879.05,-898.31,-106.22,27.11,-48619284710.0,587.02,15.04
2023-08-28,26106.15,26198.58,25880.6,26089.62,11002805166,26128.76,27418.5,28797.75,-873.49,-65.12,27.47,-37616479544.0,567.78,15.8
2023-08-29,27727.39,28089.34,25912.63,26102.49,29368391712,26291.88,27326.79,28744.01,-714.76,74.89,52.73,-8248087832.0,682.86,31.37
2023-08-30,27297.27,27760.16,27069.21,27726.08,16343655235,26402.64,27220.18,28677.54,-616.56,138.47,47.96,-24591743067.0,683.44,44.89
2023-08-31,25931.47,27456.08,25752.93,27301.93,20181001451,26383.38,27046.86,28588.33,-641.55,90.78,36.62,-44772744518.0,756.36,44.46
2023-09-01,25800.72,26125.87,25362.61,25934.02,17202862221,26360.28,26866.1,28474.83,-664.25,54.46,35.75,-61975606739.0,756.85,29.55
2023-09-02,25868.8,25970.29,25753.09,25800.91,10100387473,26304.0,26695.4,28385.52,-669.04,39.74,36.6,-51875219266.0,718.27,16.87
2023-09-03,25969.57,26087.15,25817.03,25869.47,8962524523,26284.72,26523.45,28299.0,-657.12,41.33,37.9,-42912694743.0,686.23,18.96
2023-09-04,25812.42,26081.53,25657.03,25968.17,10680635106,26261.19,26355.55,28210.26,-652.84,36.49,36.64,-53593329849.0,667.51,19.11
2023-09-05,25779.98,25858.38,25589.99,25814.96,11094740040,26238.35,26209.47,28122.94,-644.63,35.76,36.37,-64688069889.0,638.98,18.02
2023-09-06,25753.24,25953.02,25404.36,25783.93,12752705327,26204.7,26163.9,28040.88,-632.98,37.93,36.13,-77440775216.0,632.53,15.38
2023-09-07,26240.2,26409.3,25608.2,25748.31,11088307100,26218.11,26173.43,27967.4,-577.8,74.49,43.34,-66352468116.0,644.58,20.61
2023-09-08,25905.65,26414.01,25677.48,26245.21,10817356400,26035.93,26163.9,27889.68,-554.66,78.1,40.0,-77169824516.0,651.15,22.14
2023-09-09,25895.68,25921.98,25810.49,25905.43,5481314132,25895.77,26149.21,27809.41,-531.02,81.4,39.9,-82651138648.0,612.58,23.88
2023-09-10,25832.23,25978.13,25640.26,25895.21,7899553047,25885.85,26134.61,27730.62,-511.5,80.73,39.24,-90550691695.0,592.94,18.9
2023-09-11,25162.65,25883.95,24930.3,25831.71,14600006467,25822.04,26091.16,27632.19,-543.79,38.75,33.0,-105150698162.0,618.72,14.71
2023-09-12,25833.34,26451.94,25133.08,25160.66,18657279324,25818.5,26061.25,27565.31,-509.39,58.52,42.81,-86493418838.0,668.76,18.83
2023-09-13,26228.32,26376.11,25781.12,25837.55,13072077070,25844.37,26064.55,27505.33,-445.13,98.23,47.67,-73421341768.0,663.48,30.22
2023-09-14,26539.67,26774.62,26171.45,26228.28,13811359124,25917.1,26089.15,27449.03,-364.87,142.79,51.19,-59609982644.0,659.17,56.85
2023-09-15,26608.69,26840.5,26240.7,26533.82,11479735788,25999.97,26119.16,27396.99,-292.32,172.27,51.96,-48130246856.0,654.93,75.51
2023-09-16,26568.28,26754.77,26473.89,26606.2,7402031417,26081.47,26143.09,27341.97,-235.38,183.37,51.45,-55532278273.0,628.2,86.96
2023-09-17,26534.19,26618.0,26445.07,26567.93,6774210670,26110.87,26164.49,27285.51,-190.8,182.36,50.99,-62306488943.0,595.67,85.86
2023-09-18,26754.28,27414.73,26415.52,26532.99,15615339655,26195.73,26115.83,27235.09,-136.14,189.61,53.84,-46691149288.0,624.51,81.04
2023-09-19,27211.12,27488.76,26681.61,26760.85,13807690550,26327.28,26111.53,27194.71,-55.33,216.34,59.16,-32883458738.0,637.56,82.18
2023-09-20,27132.01,27379.51,26864.08,27210.23,13281116604,26457.26,26171.55,27143.84,2.31,219.18,57.91,-46164575342.0,628.83,82.87
2023-09-21,26567.63,27152.94,26389.3,27129.84,13371443708,26597.75,26209.9,27092.15,2.42,175.44,49.86,-59536019050.0,638.46,79.73
2023-09-22,26579.57,26726.08,26495.53,26564.06,10578746709,26672.38,26245.44,27040.17,3.43,141.16,50.02,-48957272341.0,609.32,71.51
2023-09-23,26579.39,26634.19,26520.52,26578.56,7404700301,26707.48,26275.93,26990.28,4.17,113.52,50.02,-56361972642.0,573.91,64.31
2023-09-24,26256.83,26716.06,26221.05,26579.37,8192867686,26679.2,26298.15,26934.57,-21.03,70.65,45.52,-64554840328.0,568.27,60.26
2023-09-25,26298.48,26421.51,26011.47,26253.78,11997833257,26648.18,26324.07,26879.7,-37.21,43.58,46.19,-52557007071.0,556.97,55.26
2023-09-26,26217.25,26389.88,26090.71,26294.76,9985498161,26613.07,26347.27,26820.43,-55.94,19.87,45.02,-62542505232.0,538.55,42.29
2023-09-27,26352.72,26817.84,26111.46,26209.5,11718380997,26594.93,26352.9,26752.18,-59.18,13.31,47.41,-50824124235.0,550.54,32.7
2023-09-28,27021.55,27259.5,26327.32,26355.81,14079002707,26621.65,26408.69,26701.38,-7.68,51.85,57.28,-36745121528.0,577.8,39.0
2023-09-29,26911.72,27225.94,26721.76,27024.84,10396435377,26591.71,26459.5,26651.02,23.99,66.81,55.44,-47141556905.0,572.54,50.8
2023-09-30,26967.92,27091.79,26888.97,26911.69,5331172801,26575.3,26516.28,26602.43,53.01,76.67,56.22,-41810384104.0,546.13,64.69
2023-10-01,27983.75,28047.24,26965.09,26967.4,9503917434,26716.92,26657.34,26573.78,156.18,143.87,67.3,-32306466670.0,584.42,74.19
2023-10-02,27530.79,28494.46,27347.79,27976.8,19793041322,26812.04,26742.21,26538.74,199.1,149.43,60.01,-52099507992.0,624.59,74.27
2023-10-03,27429.98,27667.19,27216.0,27508.25,11407814187,26897.1,26802.29,26499.17,222.41,138.2,58.49,-63507322179.0,612.2,71.73
2023-10-04,27799.39,27826.66,27248.11,27429.07,11143355314,27051.35,26865.28,26471.75,267.62,146.72,62.26,-52363966865.0,609.8,63.44
2023-10-05,27415.91,28091.86,27375.6,27798.65,11877253670,27163.1,26905.64,26446.03,269.39,118.79,56.52,-64241220535.0,617.4,61.9
2023-10-06,27946.6,28252.54,27215.55,27412.12,13492391599,27336.03,26974.55,26471.68,310.04,127.56,61.77,-50748828936.0,647.37,68.83
2023-10-07,27968.84,28028.09,27870.42,27946.78,6553044316,27497.64,27046.29,26510.06,340.13,126.12,61.98,-44195784620.0,612.39,71.11
2023-10-08,27935.09,28102.17,27740.66,27971.68,7916875290,27589.0,27105.33,26546.84,357.14,114.5,61.43,-52112659910.0,594.47,78.08
2023-10-09,27583.68,27989.47,27302.56,27934.47,12007668568,27656.19,27123.95,26574.72,338.36,76.58,55.93,-64120328478.0,601.07,72.8
2023-10-10,27391.02,27715.85,27301.65,27589.2,9973350678,27698.5,27136.9,26600.06,304.43,34.11,53.12,-74093679156.0,587.73,64.43
2023-10-11,26873.32,27474.12,26561.1,27392.08,13648094333,27587.46,27152.19,26616.89,233.07,-29.79,46.37,-87741773489.0,610.96,47.0
2023-10-12,26756.8,26921.44,26558.32,26873.29,9392909295,27510.06,27161.05,26623.39,165.21,-78.12,44.99,-97134682784.0,593.26,29.71
2023-10-13,26862.38,27092.7,26686.32,26752.88,15165312851,27453.3,27175.2,26637.39,118.59,-99.8,46.54,-81969369933.0,579.91,17.05
2023-10-14,26861.71,26969.0,26814.59,26866.2,5388116782,27359.53,27205.44,26653.68,80.65,-110.18,46.53,-87357486715.0,549.51,13.88
2023-10-15,27159.65,27289.17,26817.89,26858.01,7098201980,27333.91,27248.5,26676.7,73.78,-93.65,51.07,-80259284735.0,543.93,20.81
2023-10-16,28519.47,29448.14,27130.47,27162.63,27833876539,27391.19,27363.61,26725.29,176.03,6.88,65.46,-52425408196.0,670.63,38.2
2023-10-17,28415.75,28618.75,28110.19,28522.1,14872527508,27435.89,27466.76,26771.49,245.86,61.37,63.92,-67297935704.0,659.05,54.4
2023-10-18,28328.34,28889.01,28174.25,28413.53,12724128586,27475.21,27532.1,26783.51,290.8,85.05,62.58,-80022064290.0,663.03,64.46
2023-10-19,28719.81,28892.47,28177.99,28332.42,14448058195,27588.82,27622.51,26811.96,353.92,118.53,66.01,-65574006095.0,666.7,66.77
2023-10-20,29682.95,30104.09,28601.67,28732.81,21536125230,27818.02,27758.26,26886.99,476.17,192.63,72.66,-44037880865.0,726.4,74.72
2023-10-21,29918.41,30287.48,29481.75,29683.38,11541146996,28122.53,27854.99,26969.34,585.31,241.41,74.0,-32496733869.0,732.07,84.34
2023-10-22,29993.9,30199.43,29720.31,29918.65,10446520040,28446.24,27978.15,27051.84,670.17,261.02,74.44,-22050213829.0,714.0,90.12
2023-10-23,33086.23,34370.44,30097.83,30140.69,38363572311,29068.62,28260.96,27194.18,975.7,453.24,85.26,16313358482.0,975.62,88.6
2023-10-24,33901.53,35150.43,32880.76,33077.3,44934999645,29772.6,28566.07,27355.96,1268.99,597.23,86.84,61248358127.0,1068.05,87.05
2023-10-25,34502.82,35133.76,33709.11,33916.04,25254318008,30506.92,28920.41,27530.41,1532.29,688.41,87.87,86502676135.0,1093.52,87.16
2023-10-26,34156.65,34832.91,33762.32,34504.29,19427195376,31070.64,29230.92,27698.48,1693.49,679.7,83.79,67075480759.0,1091.88,88.73
2023-10-27,33909.8,34238.21,33416.89,34156.5,16418032871,31620.04,29527.96,27851.87,1780.8,613.61,80.91,50657447888.0,1072.56,88.61
2023-10-28,34089.57,34399.39,33874.8,33907.72,10160330825,32196.17,29835.69,28015.55,1843.26,540.85,81.41,60817778713.0,1033.42,86.88
2023-10-29,34538.48,34743.26,33947.57,34089.37,11160323986,32778.03,30183.43,28188.41,1906.99,483.67,82.64,71978102699.0,1016.44,88.25
2023-10-30,34502.36,34843.93,34110.97,34531.74,17184860315,33259.98,30539.0,28361.81,1932.31,407.19,82.17,54793242384.0,996.19,90.14
2023-10-31,34667.78,34719.25,34083.31,34500.08,15758270810,33734.91,30928.72,28551.91,1943.33,334.56,82.65,70551513194.0,970.46,92.08
2023-11-01,35437.25,35527.93,34170.69,34657.27,22446272005,34279.25,31362.74,28743.99,1991.19,305.94,84.74,92997785199.0,998.08,94.21
2023-11-02,34938.24,35919.84,34401.57,35441.58,20998158544,34464.45,31766.54,28918.19,1966.2,224.76,78.17,71999626655.0,1035.24,92.81
2023-11-03,34732.32,34942.47,34133.44,34942.47,17158456701,34547.53,32160.07,29082.04,1907.78,133.07,75.57,54841169954.0,1019.08,88.97
2023-11-04,35082.2,35256.03,34616.69,34736.32,9561294264,34605.47,32556.19,29251.51,1868.18,74.78,76.97,64402464218.0,991.96,84.88
2023-11-05,35049.36,35340.34,34594.24,35090.01,12412743996,34694.74,32882.69,29421.14,1813.24,15.87,76.53,51989720222.0,974.4,84.36
2023-11-06,35037.37,35286.03,34765.36,35044.79,12693436420,34807.49,33213.77,29591.2,1748.58,-39.03,76.36,39296283802.0,941.99,80.83
2023-11-07,35443.56,35892.42,34545.82,35047.79,18834737789,34942.89,33569.53,29764.98,1710.4,-61.77,78.16,58131021591.0,970.89,78.99
2023-11-08,35655.28,35994.42,35147.8,35419.48,17295394918,35054.57,33916.3,29933.87,1677.88,-75.43,79.06,75426416509.0,962.01,79.59
2023-11-09,36693.12,37926.26,35592.1,35633.63,37762672382,35273.65,34266.81,30125.09,1716.07,-29.79,82.79,113189088891.0,1060.02,80.16
2023-11-10,37313.97,37493.8,36362.75,36702.25,22711265155,35538.27,34636.59,30340.02,1775.96,24.08,84.56,135900354046.0,1065.09,81.46
2023-11-11,37138.05,37407.09,36773.67,37310.07,13924272142,35708.35,34993.8,30551.19,1788.62,29.39,81.98,121976081904.0,1034.26,79.24
2023-11-12,37054.52,37227.69,36779.12,37133.99,11545715999,35919.98,35192.21,30760.69,1771.48,9.8,80.73,110430365905.0,992.43,80.8
2023-11-13,36502.36,37405.12,36399.61,37070.3,19057712790,36096.98,35322.25,30965.6,1693.82,-54.29,72.78,91372653115.0,993.36,73.48
2023-11-14,35537.64,36753.35,34948.5,36491.79,23857403554,36142.52,35373.99,31150.38,1536.72,-169.11,61.41,67515249561.0,1051.32,59.1
2023-11-15,37880.58,37964.89,35383.78,35548.11,27365821679,36425.65,35560.19,31383.65,1583.02,-98.25,72.6,94881071240.0,1160.6,65.92
2023-11-16,36154.77,37934.62,35545.47,37879.98,26007385366,36537.39,35672.44,31579.69,1463.58,-174.15,59.02,68873685874.0,1248.35,62.53
2023-11-17,36596.68,36704.48,35901.23,36164.82,22445028430,36652.7,35797.8,31771.19,1388.58,-199.32,61.03,91318714304.0,1216.56,70.18
2023-11-18,36585.7,36839.28,36233.31,36625.37,11886022717,36745.74,35900.16,31964.67,1313.12,-219.82,60.95,79432691587.0,1172.94,57.47
2023-11-19,37386.55,37509.36,36414.6,36585.77,12915986553,36815.08,36044.37,32173.05,1302.92,-184.02,64.6,92348678140.0,1167.36,67.58
2023-11-20,37476.96,37756.82,36882.53,37374.07,20888209068,36831.38,36184.82,32362.91,1287.29,-159.72,64.99,113236887208.0,1146.43,76.16
2023-11-21,35813.81,37631.14,35813.81,37469.16,25172163756,36698.96,36203.65,32528.57,1127.7,-255.45,53.17,88064723452.0,1194.35,65.83
2023-11-22,37432.34,37856.98,35670.97,35756.55,24397247860,36736.74,36328.36,32728.62,1118.93,-211.37,60.67,112461971312.0,1265.18,65.59
2023-11-23,37289.62,37643.92,36923.86,37420.43,14214948217,36815.47,36456.22,32918.42,1087.92,-193.91,59.76,98247023095.0,1226.24,62.88
2023-11-24,37720.28,38415.34,37261.61,37296.32,22922957823,37033.73,36588.13,33124.51,1085.59,-156.99,61.63,121169980918.0,1221.06,79.97
2023-11-25,37796.79,37892.43,37617.42,37721.41,9099571165,37025.35,36725.5,33321.51,1077.49,-132.07,61.97,130269552083.0,1153.49,79.91
2023-11-26,37479.12,37820.3,37162.75,37796.83,13744796068,37157.79,36847.59,33511.72,1033.52,-140.83,59.62,116524756015.0,1118.06,78.37
2023-11-27,37254.17,37559.36,36750.13,37454.19,19002925720,37223.53,36938.12,33698.1,969.35,-164.0,57.95,97521830295.0,1096.0,73.89
2023-11-28,37831.09,38368.48,36891.09,37247.99,21696137014,37348.07,37046.91,33903.05,954.05,-143.44,60.97,119217967309.0,1123.25,73.41
2023-11-29,37858.49,38366.11,37612.63,37826.11,20728546658,37395.27,37105.17,34112.4,933.38,-131.29,61.12,139946513967.0,1096.83,75.94
2023-11-30,37712.75,38141.75,37531.14,37861.12,18115982627,37418.85,37125.11,34329.19,894.92,-135.8,59.86,121830531340.0,1062.1,78.57
2023-12-01,38688.75,38954.11,37629.36,37718.01,23512784002,37706.34,37202.65,34567.83,932.44,-78.62,65.04,145343315342.0,1080.86,82.3
