Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,129.56,129.93,128.17,128.66,19569200,130.11,127.28,124.05,1.97,0.1,57.61,173711000.0,3.08,69.41
2023-08-14,131.33,131.37,128.96,129.39,24695600,129.97,127.62,124.2,2.01,0.11,61.43,198406600.0,3.03,65.76
2023-08-15,129.78,131.42,129.28,131.1,19770700,129.79,127.92,124.31,1.89,-0.01,56.61,178635900.0,2.96,55.45
2023-08-16,128.7,130.28,127.87,128.7,25216100,129.82,128.25,124.36,1.69,-0.17,53.47,153419800.0,2.92,39.82
2023-08-17,129.92,131.99,129.29,129.8,33446300,129.97,128.79,124.41,1.61,-0.2,56.41,186866100.0,2.95,32.84
2023-08-18,127.46,129.25,126.38,128.51,30491300,129.9,129.16,124.51,1.34,-0.38,49.6,156374800.0,2.99,26.15
2023-08-21,128.37,128.73,126.56,127.18,25248700,129.59,129.5,124.64,1.18,-0.43,51.91,181623500.0,2.93,31.1
2023-08-22,129.08,130.28,128.32,128.51,22067500,129.35,129.85,124.77,1.1,-0.41,53.7,203691000.0,2.86,33.33
2023-08-23,132.37,133.41,129.87,130.18,27819700,129.63,130.0,124.95,1.28,-0.18,60.94,231510700.0,2.97,55.97
2023-08-24,129.78,134.25,129.57,133.95,28500700,129.63,130.02,125.07,1.21,-0.2,53.81,203010000.0,3.09,58.68
2023-08-25,129.88,130.76,127.25,129.54,26762900,129.67,129.89,125.19,1.14,-0.21,54.03,229772900.0,3.12,57.63
2023-08-28,131.01,132.54,130.14,131.31,20543300,129.63,129.8,125.31,1.17,-0.15,56.59,250316200.0,3.09,48.84
2023-08-29,134.57,136.57,132.24,132.24,43075600,130.11,129.95,125.53,1.46,0.11,63.49,293391800.0,3.27,61.23
2023-08-30,135.88,136.28,134.07,134.78,28315800,130.83,130.33,125.78,1.78,0.34,65.65,321707600.0,3.19,77.48
2023-08-31,136.17,138.0,135.79,136.01,30053800,131.46,130.71,126.1,2.03,0.48,66.13,351761400.0,3.12,85.95
2023-09-01,135.66,137.46,134.85,137.46,21524600,132.28,131.09,126.35,2.16,0.49,64.43,330236800.0,3.08,85.78
2023-09-05,135.77,136.42,134.58,135.44,19403100,133.02,131.3,126.62,2.25,0.46,64.64,349639900.0,2.99,81.64
2023-09-06,134.46,136.53,133.67,136.02,18684500,133.56,131.46,126.94,2.19,0.32,60.07,330955400.0,2.98,76.74
2023-09-07,135.26,135.58,132.95,133.59,18844300,133.84,131.74,127.28,2.18,0.25,61.84,349799700.0,2.96,75.59
2023-09-08,136.38,136.66,134.85,134.91,23558300,134.5,132.07,127.6,2.23,0.24,64.24,373358000.0,2.88,77.26
