Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,10.72,10.79,10.58,10.6,6561300,11.57,12.12,10.94,-0.06,-0.32,37.07,132490600.0,0.5,3.64
2023-08-14,10.65,10.68,10.51,10.66,5419200,11.35,12.03,10.97,-0.12,-0.3,36.25,127071400.0,0.48,4.77
2023-08-15,10.41,10.6,10.4,10.55,4962300,11.1,11.92,10.99,-0.19,-0.29,33.51,122109100.0,0.46,3.97
2023-08-16,10.19,10.42,10.16,10.33,4759000,10.88,11.77,11.02,-0.25,-0.29,31.19,117350100.0,0.45,2.4
2023-08-17,10.07,10.32,10.05,10.24,7550100,10.73,11.64,11.04,-0.31,-0.28,29.97,109800000.0,0.44,0.77
2023-08-18,10.25,10.3,9.84,9.86,8337800,10.63,11.51,11.05,-0.34,-0.24,34.13,118137800.0,0.44,5.06
2023-08-21,10.39,10.44,10.13,10.28,6461200,10.53,11.39,11.07,-0.34,-0.2,37.26,124599000.0,0.43,11.45
2023-08-22,10.38,10.6,10.32,10.5,6452100,10.46,11.29,11.09,-0.35,-0.16,37.12,118146900.0,0.42,20.4
2023-08-23,10.5,10.6,10.34,10.39,6019400,10.43,11.17,11.11,-0.33,-0.12,39.94,124166300.0,0.41,27.38
2023-08-24,10.37,10.52,10.27,10.52,4885100,10.39,11.08,11.13,-0.33,-0.09,37.96,119281200.0,0.4,31.28
2023-08-25,10.54,10.6,10.33,10.38,4784400,10.37,10.97,11.14,-0.31,-0.06,42.02,124065600.0,0.39,39.78
2023-08-28,10.55,10.72,10.5,10.62,4881500,10.36,10.86,11.15,-0.29,-0.03,42.26,128947100.0,0.38,47.1
2023-08-29,11.02,11.08,10.45,10.48,9553700,10.43,10.76,11.17,-0.24,0.02,52.24,138500800.0,0.39,67.68
2023-08-30,11.06,11.15,10.9,10.9,7218000,10.51,10.69,11.19,-0.19,0.06,52.98,145718800.0,0.38,81.04
2023-08-31,10.89,11.16,10.77,11.1,28595700,10.6,10.66,11.21,-0.16,0.07,49.45,117123100.0,0.38,88.68
2023-09-01,11.11,11.37,11.06,11.18,9240000,10.68,10.65,11.25,-0.12,0.09,53.75,126363100.0,0.39,85.13
2023-09-05,10.82,11.02,10.66,11.0,9895100,10.72,10.63,11.27,-0.11,0.08,47.96,116468000.0,0.4,75.43
2023-09-06,10.79,10.94,10.7,10.77,5866800,10.77,10.61,11.3,-0.1,0.07,47.39,110601200.0,0.38,69.72
2023-09-07,10.74,10.77,10.52,10.61,4420300,10.79,10.61,11.31,-0.1,0.06,46.41,106180900.0,0.38,61.66
2023-09-08,10.74,10.8,10.52,10.69,4874700,10.83,10.61,11.32,-0.1,0.05,46.41,106180900.0,0.37,56.7
2023-09-11,10.84,10.9,10.71,10.82,5331800,10.86,10.62,11.34,-0.08,0.05,48.88,111512700.0,0.36,53.28
2023-09-12,10.8,11.01,10.79,10.81,5042800,10.88,10.62,11.36,-0.08,0.04,47.93,106469900.0,0.35,49.73
2023-09-13,10.62,10.81,10.59,10.76,4808500,10.84,10.63,11.36,-0.08,0.03,43.79,101661400.0,0.34,43.94
2023-09-14,10.57,10.66,10.42,10.65,6470800,10.79,10.65,11.35,-0.09,0.01,42.69,95190600.0,0.33,34.36
2023-09-15,10.67,10.69,10.43,10.47,8987000,10.77,10.68,11.36,-0.09,0.01,45.64,104177600.0,0.33,27.07
2023-09-18,10.6,10.79,10.58,10.65,5412100,10.72,10.7,11.36,-0.1,0.01,43.94,98765500.0,0.32,22.78
2023-09-19,10.47,10.6,10.36,10.58,4583700,10.68,10.7,11.34,-0.11,-0.0,40.89,94181800.0,0.31,18.72
2023-09-20,10.22,10.65,10.21,10.45,4883500,10.63,10.7,11.31,-0.14,-0.02,35.75,89298300.0,0.32,10.23
2023-09-21,9.83,10.02,9.82,10.01,7251000,10.54,10.66,11.27,-0.19,-0.06,29.52,82047300.0,0.33,4.13
2023-09-22,9.7,9.97,9.64,9.91,5370600,10.43,10.63,11.21,-0.24,-0.09,27.78,76676700.0,0.33,1.95
2023-09-25,9.68,9.77,9.55,9.57,3894800,10.32,10.59,11.16,-0.27,-0.1,27.51,72781900.0,0.32,4.63
2023-09-26,9.53,9.77,9.49,9.61,5751400,10.19,10.54,11.1,-0.31,-0.11,25.52,67030500.0,0.32,5.29
2023-09-27,9.57,9.77,9.44,9.64,4445700,10.08,10.46,11.04,-0.33,-0.11,27.04,71476200.0,0.32,6.61
2023-09-28,9.68,9.84,9.48,9.6,3848900,10.0,10.39,10.97,-0.34,-0.09,31.19,75325100.0,0.32,8.73
2023-09-29,9.81,10.01,9.69,9.84,4605000,9.91,10.34,10.91,-0.33,-0.06,35.83,79930100.0,0.32,15.71
2023-10-02,9.73,9.9,9.59,9.77,5825400,9.82,10.27,10.85,-0.32,-0.05,34.3,74104700.0,0.32,20.0
2023-10-03,9.53,9.78,9.49,9.62,4405500,9.73,10.21,10.78,-0.33,-0.04,30.75,69699200.0,0.32,17.13
2023-10-04,9.68,9.69,9.43,9.5,4485600,9.67,10.15,10.73,-0.32,-0.03,36.09,74184800.0,0.31,15.4
2023-10-05,9.73,9.82,9.49,9.57,4888500,9.66,10.1,10.67,-0.31,-0.01,37.81,79073300.0,0.32,15.7
2023-10-06,9.93,9.99,9.62,9.62,5124700,9.69,10.06,10.62,-0.28,0.02,44.27,84198000.0,0.32,27.14
2023-10-09,9.87,9.96,9.72,9.82,3637400,9.71,10.01,10.56,-0.25,0.03,42.83,80560600.0,0.31,33.04
2023-10-10,10.04,10.19,9.86,9.86,4895800,9.76,9.97,10.51,-0.22,0.05,47.99,85456400.0,0.31,52.44
2023-10-11,9.72,10.18,9.68,10.05,6391400,9.77,9.93,10.44,-0.22,0.05,40.57,79065000.0,0.33,51.5
2023-10-12,9.29,9.77,9.28,9.74,7034200,9.73,9.86,10.38,-0.24,0.01,33.16,72030800.0,0.34,39.84
2023-10-13,9.14,9.36,9.12,9.3,5586000,9.67,9.79,10.33,-0.28,-0.01,31.03,66444800.0,0.33,13.71
2023-10-16,9.32,9.39,9.14,9.16,3913900,9.62,9.72,10.29,-0.28,-0.02,36.31,70358700.0,0.33,7.22
2023-10-17,9.6,9.64,9.22,9.22,6263900,9.63,9.68,10.26,-0.26,0.0,43.56,76622600.0,0.33,21.81
2023-10-18,9.21,9.56,9.15,9.5,5151200,9.59,9.63,10.22,-0.28,-0.01,37.21,71471400.0,0.34,23.99
2023-10-19,8.97,9.24,8.96,9.24,5382500,9.51,9.59,10.19,-0.3,-0.03,33.93,66088900.0,0.34,18.03
2023-10-20,9.13,9.23,8.89,8.95,5344000,9.43,9.56,10.15,-0.31,-0.03,37.86,71432900.0,0.34,9.23
2023-10-23,9.17,9.39,8.97,9.05,5031500,9.36,9.53,10.12,-0.3,-0.02,38.84,76464400.0,0.34,13.6
2023-10-24,9.32,9.6,9.25,9.34,5658200,9.29,9.52,10.1,-0.28,0.0,42.5,82122600.0,0.35,24.36
2023-10-25,9.03,9.29,9.01,9.21,5804800,9.22,9.5,10.07,-0.29,-0.0,37.79,76317800.0,0.35,21.79
2023-10-26,9.1,9.23,8.94,9.07,4447800,9.2,9.47,10.05,-0.29,0.0,39.53,80765600.0,0.34,20.0
2023-10-27,8.9,9.2,8.89,9.2,4421200,9.18,9.42,10.02,-0.29,-0.01,36.4,76344400.0,0.34,9.23
2023-10-30,9.08,9.14,8.9,9.0,3914000,9.15,9.39,10.0,-0.28,0.0,40.94,80258400.0,0.33,10.55
2023-10-31,9.14,9.16,9.05,9.12,3753200,9.11,9.37,9.97,-0.27,0.02,42.42,84011600.0,0.32,14.64
