Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,15.41,15.58,14.91,15.05,56489900,17.68,17.36,16.19,0.02,-0.4,40.31,-244610100.0,1.14,6.11
2023-08-14,15.72,15.74,14.95,15.2,47511400,17.27,17.27,16.21,-0.07,-0.4,42.74,-197098700.0,1.11,10.2
2023-08-15,15.37,15.87,15.29,15.61,44000400,16.81,17.14,16.23,-0.17,-0.4,40.73,-241099100.0,1.07,11.07
2023-08-16,15.45,15.73,15.12,15.21,40394600,16.46,17.01,16.23,-0.24,-0.37,41.4,-200704500.0,1.04,11.32
2023-08-17,14.15,15.44,14.03,15.39,91086700,16.0,16.86,16.21,-0.4,-0.42,34.5,-291791200.0,1.07,6.87
2023-08-18,14.4,14.6,13.68,13.88,70047000,15.62,16.76,16.2,-0.5,-0.42,36.68,-221744200.0,1.05,7.65
2023-08-21,14.5,14.78,14.34,14.42,43206200,15.27,16.67,16.19,-0.56,-0.38,37.58,-178538000.0,1.01,8.88
2023-08-22,14.67,15.13,14.63,14.76,52106900,15.03,16.57,16.18,-0.59,-0.33,39.16,-126431100.0,0.98,14.13
2023-08-23,15.3,15.47,14.42,14.5,53523300,15.04,16.52,16.17,-0.56,-0.24,44.74,-72907800.0,0.99,20.47
2023-08-24,14.14,15.71,13.88,15.7,93586200,14.91,16.42,16.13,-0.62,-0.24,37.86,-166494000.0,1.05,19.13
2023-08-25,14.53,14.65,14.01,14.14,55668900,14.82,16.25,16.11,-0.62,-0.2,41.14,-110825100.0,1.02,20.69
2023-08-28,14.64,14.88,14.5,14.69,35964700,14.71,15.99,16.07,-0.62,-0.15,42.07,-74860400.0,0.97,20.57
2023-08-29,15.4,15.63,14.5,14.6,47213200,14.72,15.76,16.05,-0.54,-0.06,48.15,-27647200.0,0.98,43.49
2023-08-30,16.33,16.35,15.33,15.46,65674100,14.81,15.63,16.06,-0.4,0.06,54.46,38026900.0,0.99,69.14
2023-08-31,14.98,15.85,14.65,15.6,101517200,14.89,15.44,16.07,-0.4,0.05,45.76,-63490300.0,1.04,75.49
2023-09-01,15.18,15.36,14.83,15.16,45107800,14.97,15.29,16.09,-0.37,0.06,47.11,-18382500.0,1.0,68.04
2023-09-05,15.21,15.42,14.9,15.08,33818400,15.04,15.15,16.11,-0.34,0.07,47.32,15435900.0,0.97,54.06
2023-09-06,15.3,15.62,15.08,15.17,38738100,15.1,15.07,16.14,-0.31,0.08,47.99,54174000.0,0.94,58.05
2023-09-07,15.21,15.24,14.29,14.88,51798800,15.09,15.06,16.15,-0.29,0.08,47.34,2375200.0,0.94,58.43
2023-09-08,15.13,15.61,15.09,15.12,33862000,15.19,15.05,16.15,-0.28,0.08,46.73,-31486800.0,0.91,56.23
2023-09-11,15.79,16.1,15.36,15.41,55294700,15.32,15.07,16.16,-0.21,0.12,52.17,23807900.0,0.92,61.79
2023-09-12,15.59,16.15,15.43,15.46,39497900,15.41,15.06,16.17,-0.17,0.12,50.49,-15690000.0,0.9,65.79
2023-09-13,15.6,15.85,15.42,15.63,34354400,15.43,15.08,16.17,-0.14,0.12,50.58,18664400.0,0.87,72.12
2023-09-14,15.83,16.04,15.47,15.69,38572500,15.38,15.09,16.17,-0.09,0.14,52.61,57236900.0,0.85,72.26
2023-09-15,15.33,15.9,15.17,15.77,56161900,15.42,15.15,16.18,-0.1,0.11,47.99,1075000.0,0.84,65.99
2023-09-18,15.46,15.63,15.07,15.18,37404100,15.45,15.21,16.18,-0.09,0.09,49.24,38479100.0,0.82,61.69
2023-09-19,15.15,15.52,14.95,15.34,37804800,15.44,15.24,16.15,-0.11,0.06,46.37,674300.0,0.8,49.68
2023-09-20,14.74,15.43,14.73,15.25,37640500,15.38,15.24,16.12,-0.15,0.01,42.83,-36966200.0,0.79,40.91
2023-09-21,14.0,14.6,13.68,14.34,72831500,15.26,15.18,16.07,-0.24,-0.06,37.29,-109797700.0,0.81,26.3
2023-09-22,14.13,14.41,14.03,14.23,47714500,15.16,15.18,16.02,-0.3,-0.1,38.79,-62083200.0,0.78,18.46
2023-09-25,14.22,14.24,13.82,14.0,39693900,15.01,15.16,15.97,-0.34,-0.11,39.86,-22389300.0,0.76,17.68
2023-09-26,13.96,14.17,13.88,13.95,37276200,14.84,15.13,15.9,-0.38,-0.12,37.8,-59665500.0,0.73,17.14
2023-09-27,14.85,14.96,14.16,14.2,62780600,14.77,15.1,15.84,-0.34,-0.06,47.75,3115100.0,0.75,26.86
2023-09-28,15.77,15.96,14.82,15.14,66590800,14.76,15.07,15.79,-0.23,0.04,55.64,69705900.0,0.77,47.77
2023-09-29,16.0,16.81,15.96,16.11,77919600,14.83,15.12,15.77,-0.13,0.11,57.38,147625500.0,0.79,68.7
2023-10-02,15.88,16.44,15.77,16.03,41043900,14.87,15.16,15.76,-0.05,0.15,56.14,106581600.0,0.78,76.34
2023-10-03,14.9,15.77,14.82,15.61,51578100,14.85,15.14,15.73,-0.07,0.11,47.22,55003500.0,0.8,61.13
2023-10-04,15.73,15.85,15.16,15.46,52786200,14.94,15.16,15.71,-0.02,0.13,53.9,107789700.0,0.81,58.25
2023-10-05,15.81,15.9,15.41,15.56,49648100,15.13,15.19,15.7,0.03,0.14,54.5,157437800.0,0.79,57.51
2023-10-06,16.61,16.69,15.51,15.56,65511400,15.37,15.27,15.71,0.13,0.19,60.08,222949200.0,0.82,75.72
2023-10-09,17.61,17.83,16.22,16.25,106161200,15.71,15.36,15.71,0.29,0.28,65.73,329110400.0,0.88,85.45
2023-10-10,17.8,18.4,17.62,18.06,99971500,16.1,15.47,15.67,0.42,0.33,66.7,429081900.0,0.87,91.87
2023-10-11,17.92,18.44,17.73,17.87,55745600,16.4,15.59,15.63,0.53,0.35,67.33,484827500.0,0.86,90.24
2023-10-12,17.94,18.24,17.55,17.92,57940900,16.62,15.69,15.6,0.62,0.35,67.44,542768400.0,0.85,88.4
2023-10-13,17.36,18.16,17.27,18.06,54541600,16.76,15.79,15.58,0.63,0.29,61.03,488226800.0,0.85,84.75
2023-10-16,17.36,17.46,16.67,17.21,44987300,16.9,15.89,15.56,0.63,0.23,61.03,488226800.0,0.85,80.09
2023-10-17,17.84,18.03,16.91,17.0,54401300,17.2,16.02,15.56,0.66,0.21,64.28,542628100.0,0.86,78.17
2023-10-18,17.2,18.22,17.19,17.81,44208300,17.35,16.14,15.56,0.63,0.14,57.39,498419800.0,0.88,74.65
2023-10-19,17.06,17.58,16.97,17.44,46303200,17.47,16.3,15.6,0.58,0.08,55.98,452116600.0,0.86,70.35
2023-10-20,16.11,16.94,15.81,16.85,63738300,17.42,16.4,15.61,0.47,-0.03,47.44,388378300.0,0.89,54.42
2023-10-23,16.2,16.34,15.21,15.9,55967200,17.28,16.5,15.63,0.38,-0.1,48.25,444345500.0,0.9,43.07
2023-10-24,16.64,16.93,16.3,16.38,39833800,17.16,16.63,15.65,0.34,-0.11,52.11,484179300.0,0.89,37.21
2023-10-25,15.59,16.63,15.58,16.57,46706500,16.93,16.67,15.65,0.22,-0.18,43.72,437472800.0,0.9,29.25
2023-10-26,15.29,15.91,15.05,15.6,49351800,16.67,16.64,15.65,0.1,-0.24,41.66,388121000.0,0.9,21.04
2023-10-27,15.07,15.6,14.96,15.48,39913600,16.44,16.6,15.67,-0.01,-0.28,40.16,348207400.0,0.88,7.34
2023-10-30,14.69,15.29,14.56,15.27,46886400,16.17,16.54,15.67,-0.13,-0.32,37.65,301321000.0,0.87,4.53
2023-10-31,14.8,15.01,14.55,14.58,40195400,15.87,16.53,15.68,-0.21,-0.32,38.84,341516400.0,0.84,4.43
2023-11-01,14.92,14.96,14.48,14.8,54419100,15.64,16.49,15.68,-0.27,-0.3,40.19,395935500.0,0.82,7.3
2023-11-02,17.97,18.3,17.21,17.48,170406800,15.73,16.6,15.74,-0.06,-0.08,62.67,566342300.0,1.0,36.63
2023-11-03,18.89,19.08,17.76,18.02,109039500,16.01,16.71,15.83,0.17,0.13,66.74,675381800.0,1.02,66.34
2023-11-06,18.54,19.08,17.93,18.99,79952600,16.24,16.76,15.91,0.33,0.23,63.89,595429200.0,1.03,91.84
2023-11-07,18.8,19.17,18.53,18.86,56289100,16.46,16.81,15.99,0.47,0.29,65.08,651718300.0,1.0,92.09
2023-11-08,18.49,18.93,18.15,18.85,46063100,16.75,16.84,16.06,0.54,0.29,62.43,605655200.0,0.99,88.62
2023-11-09,18.27,18.87,18.16,18.66,48454200,17.04,16.85,16.09,0.58,0.27,60.55,557201000.0,0.97,86.14
2023-11-10,19.67,19.72,18.06,18.16,92748000,17.5,16.97,16.19,0.71,0.32,67.31,649949000.0,1.02,88.45
2023-11-13,19.71,19.88,19.3,19.59,74877500,18.01,17.09,16.28,0.82,0.34,67.48,724826500.0,0.99,92.24
2023-11-14,19.94,20.1,19.5,20.0,83230500,18.52,17.19,16.37,0.9,0.34,68.5,808057000.0,0.96,97.68
