Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-08-11,242.65,243.79,238.02,241.77,98866600,252.71,262.29,257.95,-4.33,-3.35,39.15,1260564900.0,10.02,8.44
2023-08-14,239.76,240.66,233.75,235.7,98595300,249.94,259.76,258.6,-5.06,-3.27,37.56,1161969600.0,9.94,13.79
2023-08-15,232.96,240.5,232.61,238.73,88197600,247.13,256.74,258.98,-6.12,-3.46,34.06,1073772000.0,9.79,10.41
2023-08-16,225.6,233.97,225.38,228.02,112484500,244.28,253.46,259.14,-7.46,-3.84,30.73,961287500.0,9.7,6.15
2023-08-17,219.22,226.74,218.83,226.06,120718400,240.27,251.28,259.1,-8.94,-4.26,28.15,840569100.0,9.57,0.75
2023-08-18,215.49,217.58,212.36,214.12,135813700,236.44,249.05,258.92,-10.29,-4.49,26.74,704755400.0,9.37,2.35
2023-08-21,231.28,232.13,220.58,221.55,135702700,234.42,247.16,258.84,-9.98,-3.34,40.36,840458100.0,9.9,14.22
2023-08-22,233.19,240.82,229.55,240.25,130597900,232.77,245.56,258.62,-9.46,-2.26,41.77,971056000.0,10.0,27.21
2023-08-23,236.86,238.98,229.29,229.34,101077600,232.24,244.18,258.36,-8.66,-1.16,44.49,1072133600.0,9.98,40.86
2023-08-24,230.04,238.92,228.18,238.66,99777400,230.71,242.9,257.79,-8.48,-0.78,40.69,972356200.0,10.03,43.1
2023-08-25,238.59,239.0,230.35,231.31,106612200,230.3,241.51,257.42,-7.55,0.11,46.82,1078968400.0,9.96,52.02
2023-08-28,238.82,244.38,235.35,242.58,107673700,230.21,240.08,257.08,-6.73,0.75,46.98,1186642100.0,9.89,58.8
2023-08-29,257.18,257.48,237.77,238.58,134047600,232.63,239.88,257.01,-4.54,2.35,57.81,1320689700.0,10.6,77.64
2023-08-30,256.9,260.51,250.59,254.2,121988400,235.76,240.02,256.66,-2.79,3.28,57.62,1198701300.0,10.55,86.31
2023-08-31,258.08,261.18,255.05,255.98,108861700,239.64,239.96,256.63,-1.3,3.82,58.25,1307563000.0,10.23,95.16
