Price,Close,High,Low,Open,Volume
Ticker,HOOD,HOOD,HOOD,HOOD,HOOD
Date,,,,,
2024-11-01,23.969999313354492,24.118000030517578,23.0,23.700000762939453,21594100
2024-11-04,24.31999969482422,24.559999465942383,23.540000915527344,23.75,15067200
2024-11-05,24.959999084472656,25.274999618530273,24.420000076293945,24.53499984741211,12947200
2024-11-06,29.860000610351562,30.059999465942383,26.739999771118164,27.729999542236328,49591600
2024-11-07,29.360000610351562,30.040000915527344,28.670000076293945,29.059999465942383,24913000
2024-11-08,30.540000915527344,30.6299991607666,29.209999084472656,29.350000381469727,22564100
2024-11-11,32.79999923706055,34.31999969482422,32.22999954223633,32.939998626708984,43967200
2024-11-12,33.0,33.7599983215332,31.459999084472656,31.739999771118164,26059500
2024-11-13,31.90999984741211,34.099998474121094,31.822999954223633,33.630001068115234,23203600
2024-11-14,32.220001220703125,33.0,31.591999053955078,32.849998474121094,13023400
2024-11-15,32.31999969482422,32.35499954223633,31.260000228881836,32.0099983215332,17537500
2024-11-18,35.0,35.6150016784668,32.900001525878906,33.11000061035156,36964900
2024-11-19,35.2400016784668,36.31999969482422,34.0,34.560001373291016,27227500
2024-11-20,36.08000183105469,38.11000061035156,35.720001220703125,37.0,36004100
2024-11-21,35.09000015258789,37.125,34.630001068115234,37.125,27042400
2024-11-22,36.650001525878906,36.834999084472656,34.16999816894531,34.97999954223633,21650100
2024-11-25,37.849998474121094,39.7400016784668,37.29999923706055,39.220001220703125,29944600
2024-11-26,36.41999816894531,37.90999984741211,36.150001525878906,37.04999923706055,16612100
2024-11-27,37.650001525878906,38.290000915527344,37.040000915527344,37.5099983215332,15118500
2024-11-29,37.540000915527344,39.14500045776367,37.5099983215332,38.619998931884766,13399500
2024-12-02,37.619998931884766,38.790000915527344,37.52000045776367,37.92499923706055,16071000
2024-12-03,38.63999938964844,38.70500183105469,36.61000061035156,37.04999923706055,17947600
2024-12-04,40.0,40.56999969482422,37.779998779296875,39.95000076293945,35447100
2024-12-05,38.91999816894531,42.7599983215332,38.790000915527344,42.709999084472656,50453500
2024-12-06,41.66999816894531,41.709999084472656,38.939998626708984,39.59000015258789,37242700
2024-12-09,39.540000915527344,42.09000015258789,39.2400016784668,41.38999938964844,26493400
2024-12-10,37.36000061035156,40.5,37.189998626708984,39.810001373291016,27808800
2024-12-11,37.84000015258789,38.54999923706055,37.70000076293945,38.5,23327700
2024-12-12,39.33000183105469,40.189998626708984,35.619998931884766,37.380001068115234,26270400
2024-12-13,40.20000076293945,40.34700012207031,38.959999084472656,39.40999984741211,19794900
2024-12-16,43.20000076293945,43.83000183105469,40.529998779296875,41.02000045776367,36584000
2024-12-17,41.630001068115234,42.310001373291016,40.34000015258789,42.310001373291016,27260400
2024-12-18,37.08000183105469,41.48899841308594,36.63999938964844,41.439998626708984,33565200
2024-12-19,36.939998626708984,38.68000030517578,36.209999084472656,38.47999954223633,25513100
2024-12-20,38.33000183105469,38.474998474121094,34.02000045776367,35.11000061035156,29109100
2024-12-23,37.5,38.5,37.08000183105469,37.91999816894531,16662300
2024-12-24,39.58000183105469,39.59000015258789,37.689998626708984,38.0,10144500
2024-12-26,40.380001068115234,40.46500015258789,38.79999923706055,39.34000015258789,11874900
2024-12-27,39.02000045776367,40.439998626708984,38.220001220703125,40.25,14388800
2024-12-30,38.279998779296875,38.959999084472656,37.45000076293945,37.810001373291016,12749600
2024-12-31,37.2599983215332,39.099998474121094,37.029998779296875,38.95000076293945,14168100
2025-01-02,39.439998626708984,39.70000076293945,37.349998474121094,38.540000915527344,18993300
2025-01-03,41.349998474121094,41.380001068115234,39.02399826049805,39.779998779296875,19978800
2025-01-06,42.709999084472656,43.119998931884766,41.459999084472656,42.11000061035156,22219300
2025-01-07,40.560001373291016,43.1879997253418,39.8650016784668,42.33000183105469,17649200
2025-01-08,40.810001373291016,40.83000183105469,39.209999084472656,40.255001068115234,14022200
2025-01-10,40.08000183105469,40.529998779296875,38.779998779296875,40.06999969482422,13972900
2025-01-13,39.59000015258789,39.797000885009766,38.41999816894531,39.0099983215332,13763100
2025-01-14,41.7599983215332,43.77000045776367,41.279998779296875,41.79999923706055,32498800
2025-01-15,45.560001373291016,46.220001220703125,43.643001556396484,43.9900016784668,32265300
2025-01-16,46.08000183105469,46.849998474121094,45.25,45.61000061035156,18649700
2025-01-17,48.150001525878906,49.27000045776367,46.970001220703125,47.7400016784668,35226600
2025-01-21,50.0,50.63999938964844,48.150001525878906,49.93000030517578,29947100
2025-01-22,50.15999984741211,51.09000015258789,49.720001220703125,50.209999084472656,20153200
2025-01-23,50.36000061035156,50.90999984741211,49.2599983215332,49.38999938964844,16838700
2025-01-24,51.119998931884766,52.060001373291016,50.599998474121094,50.90999984741211,19901100
2025-01-27,47.7400016784668,50.14500045776367,46.65999984741211,48.33000183105469,29648700
2025-01-28,49.400001525878906,49.79999923706055,47.01100158691406,47.89799880981445,17600400
2025-01-29,51.150001525878906,51.709999084472656,48.599998474121094,48.81999969482422,17767600
2025-01-30,53.0,53.5099983215332,51.066001892089844,51.959999084472656,16825700
2025-01-31,51.95000076293945,53.4900016784668,51.6349983215332,53.2599983215332,14361200
2025-02-03,51.900001525878906,52.31999969482422,48.08000183105469,48.4900016784668,19031800
2025-02-04,52.58000183105469,53.310001373291016,51.540000915527344,52.0,17469600
2025-02-05,54.20000076293945,54.33000183105469,52.209999084472656,52.31999969482422,16616600
2025-02-06,53.16999816894531,54.880001068115234,52.15999984741211,54.79999923706055,15893900
2025-02-07,55.86000061035156,55.97999954223633,54.11000061035156,54.38999938964844,25050300
